STATECODE,LabelSchoolNameShort,LabelSchoolNameLong,DSTCODE,DISTRICTNAME,SchNameDistName,GRADECONFIG,ADDRESS,CITY,ZIP,CHARTER,CORECITY5,CORECITY6,MCSCHOOL,MCELEM,GRCONFIG,ELEM,MIDDLE,HIGH
36103,Westerly MS,Westerly Middle School,36,Westerly,"Westerly MS, Westerly",Middle School,10 Sandy Hill Road,Westerly,02891,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,05 - 08,,MIDDLE,
06109,Western Coventry,Western Coventry School,06,Coventry,"Western Coventry, Coventry",Elementary School,4588 Flat River Road,Coventry,02816,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
07129,Western Hills MS,Western Hills Middle School,07,Cranston,"Western Hills MS, Cranston",Middle School,400 Phenix Avenue,Cranston,02920,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,07 - 08,,MIDDLE,
35129,Wickes,Wickes School,35,Warwick,"Wickes, Warwick",Elementary School,50 Child Lane,Warwick,02886,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
23105,Wickford MS,Wickford Middle School,23,North Kingstown,"Wickford MS, North Kingstown",Middle School,250 Tower Hill Road,North Kingstown,02852,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
18101,Wilbur and McMahon,Wilbur and McMahon Schools,18,Little Compton,"Wilbur and McMahon, Little Compton",Elementary and Middle Schoo,28 Commons PO Box 178,Little Compton,02837,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 08,ELEM,,
28189,Cooley/HSTA (HS),William B. Cooley/Health,28,Providence,"Cooley/HSTA (HS), Providence",High School,182 Thurbers Avenue,Providence,02905,Non-Charter,Core City (5),Core City (6),Making Connections School,Non MC Elem School,09 - 12,,,HIGH
03107,Callahan,William Callahan School,03,Burrillville,"Callahan, Burrillville",Elementary School,75 Callahan School St,Burrillville,02830,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,02 - 05,ELEM,,
28153,D'Abate,William D'Abate Elem. School,28,Providence,"D'Abate, Providence",Elementary School,60 Kossuth Street,Providence,02909,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
26105,Tolman HS,William E. Tolman High,26,Pawtucket,"Tolman HS, Pawtucket",High School,150 Exchange Street,Pawtucket,02860,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
31103,Winsor,William Winsor School,31,Smithfield,"Winsor, Smithfield",Elementary School,562 Putnam Pike,Smithfield,02828,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
28148,Windmill St,Windmill Street El. School,28,Providence,"Windmill St, Providence",Elementary School,110 Paul Street,Providence,02904,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
35139,Winman Jr High,Winman Junior High School,35,Warwick,"Winman Jr High, Warwick",Middle School,575 Centerville Road,Warwick,02886,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,07 - 08,,MIDDLE,
16109,Winsor Hill,Winsor Hill School,16,Johnston,"Winsor Hill, Johnston",Elementary School,100 Theresa Street,Johnston,02919,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,01 - 05,ELEM,,
07121,Woodridge,Woodridge School,07,Cranston,"Woodridge, Cranston",Elementary School,401 Budlong Road,Cranston,02920,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
39123,Woonsocket HS,Woonsocket High School,39,Woonsocket,"Woonsocket HS, Woonsocket",High School,777 Cass Avenue,Woonsocket,02895,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
39115,Woonsocket MS,Woonsocket Middle School,39,Woonsocket,"Woonsocket MS, Woonsocket",Middle School,60 Florence Dr,Woonsocket,02895,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
35119,Wyman,Wyman School,35,Warwick,"Wyman, Warwick",Elementary School,1 Columbia Avenue,Warwick,02888,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 06,ELEM,,
