STATECODE,LabelSchoolNameShort,LabelSchoolNameLong,DSTCODE,DISTRICTNAME,SchNameDistName,GRADECONFIG,ADDRESS,CITY,ZIP,CHARTER,CORECITY5,CORECITY6,MCSCHOOL,MCELEM,GRCONFIG,ELEM,MIDDLE,HIGH
24111,Ricci MS,Dr. Edward Ricci School,24,North Providence,"Ricci MS, North Providence",Middle School,51 Intervale Avenue,North Providence,02911,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
25106,Halliwell,Dr. Halliwell School,25,North Smithfield,"Halliwell, North Smithfield",Elementary School,358 Victory Highway,North Smithfield,02876,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,03 - 05,ELEM,,
28113,Dr. Jorge Alvarez HS,Dr. Jorge Alvarez HS,28,Providence,"Dr. Jorge Alvarez HS, Providence",High School,375 Adelaide Avenue,Providence,02907,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
35137,Drum Rock,Drum Rock Early,35,Warwick,"Drum Rock, Warwick",Elementary School,575 Centerville Road,Warwick,02886,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - K,ELEM,,
36109,Dunn's Corners,Dunn's Corners School,36,Westerly,"Dunn's Corners, Westerly",Elementary School,8 1/2 Plateau Road,Westerly,02891,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 04,ELEM,,
16114,Early Childhood Ctr,Early Childhood Center,16,Johnston,"Early Childhood Ctr, Johnston",Elementary School,10 Memorial Avenue,Johnston,02919,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - K,ELEM,,
09106,East Greenwich HS,East Greenwich High,09,East Greenwich,"East Greenwich HS, East Greenwich",High School,300 Avenger Drive,East Greenwich,02818,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
10112,East Providence HS,East Providence High,10,East Providence,"East Providence HS, East Providence",High School,2000 Pawtucket Avenue,East Providence,02914,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
28187,E-Cubed Academy (HS),E-Cubed Academy,28,Providence,"E-Cubed Academy (HS), Providence",High School,812 Branch Avenue,Providence,02904,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
07118,Eden Park,Eden Park School,07,Cranston,"Eden Park, Cranston",Elementary School,180 Oakland Avenue,Cranston,02910,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
07130,Edgewood Highland,Edgewood Highland,07,Cranston,"Edgewood Highland, Cranston",Elementary School,160 Pawtuxet Avenue,Cranston,02905,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
28158,Flynn,Edmund W. Flynn El. School,28,Providence,"Flynn, Providence",Elementary School,220 Blackstone Street,Providence,02905,Non-Charter,Core City (5),Core City (6),Making Connections School,Making Connections Elem School,K - 05,ELEM,,
10109,Martin MS,Edward Martin Middle,10,East Providence,"Martin MS, East Providence",Middle School,111 Brown Street,East Providence,02914,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
07117,Rhodes,Edward S. Rhodes School,07,Cranston,"Rhodes, Cranston",Elementary School,160 Shaw Avenue,Cranston,02905,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
26120,Baldwin,Elizabeth Baldwin School,26,Pawtucket,"Baldwin, Pawtucket",Elementary School,50 Whitman Street,Pawtucket,02860,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 06,ELEM,,
04101,Ella Risk,Ella Risk School,04,Central Falls,"Ella Risk, Central Falls",Elementary School,949 Dexter Street,Central Falls,02863,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
27115,Elmhurst,Elmhurst School,27,Portsmouth,"Elmhurst, Portsmouth",Elementary School,1 Frank Coelho Drive,Portsmouth,02871,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
10117,Whiteknact,Emma G. Whiteknact School,10,East Providence,"Whiteknact, East Providence",Elementary School,261 Grosvenor Avenue,East Providence,02914,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
28137,Hopkins MS,Esek Hopkins Middle,28,Providence,"Hopkins MS, Providence",Middle School,480 Charles Street,Providence,02904,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
97105,Ex-WG Reg Jr High,Exeter-West Greenwich Reg. Jr,97,Exeter-W. Greenwich,"Ex-WG Reg Jr High, Exeter-W. Greenwich",Middle School,930 Nooseneck Hill Road,West Greenwich,02817,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,07 - 08,,MIDDLE,
97106,Ex-WG Reg Senior HS,Exeter-West Greenwich Regiona,97,Exeter-W. Greenwich,"Ex-WG Reg Senior HS, Exeter-W. Greenwich",High School,930 Nooseneck Hill Road,West Greenwich,02817,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
17102,Fairlawn,Fairlawn Elementary,17,Lincoln,"Fairlawn, Lincoln",Elementary School,3 Fairlawn Way,Lincoln,02865,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 01,ELEM,,
26113,Fallon Memorial,Fallon Memorial School,26,Pawtucket,"Fallon Memorial, Pawtucket",Elementary School,62 Lincoln Avenue,Pawtucket,02861,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 06,ELEM,,
28179,Feinstein HS,Feinstein High School,28,Providence,"Feinstein HS, Providence",High School,544 Elmwood Avenue,Providence,02907,Non-Charter,Core City (5),Core City (6),Making Connections School,Non MC Elem School,09 - 12,,,HIGH
39112,Fifth Ave,Fifth Avenue School,39,Woonsocket,"Fifth Ave, Woonsocket",Elementary School,65 Fifth Avenue,Woonsocket,02895,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 02,ELEM,,
23109,Fishing Cove,Fishing Cove El. School,23,North Kingstown,"Fishing Cove, North Kingstown",Elementary School,110 Wickford Point Road,North Kingstown,02852,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 03,ELEM,,
26115,Curtis,Flora S. Curtis School,26,Pawtucket,"Curtis, Pawtucket",Elementary School,582 Benefit Street,Pawtucket,02861,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
13103,Fogarty Mem,Fogarty Memorial,13,Glocester,"Fogarty Mem, Glocester",Elementary School,736 Snake Hill Road,Glocester,02857,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
19107,Forest Ave,Forest Avenue School,19,Middletown,"Forest Ave, Middletown",Elementary School,315 Forest Avenue,Middletown,02842,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 04,ELEM,,
23110,Forest Park,Forest Park El. School,23,North Kingstown,"Forest Park, North Kingstown",Elementary School,50 Woodlawn Drive,North Kingstown,02852,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 03,ELEM,,
33106,Fort Barton,Fort Barton School,33,Tiverton,"Fort Barton, Tiverton",Elementary School,99 Lawton Avenue,Tiverton,02878,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 04,ELEM,,
26125,Varieur,Francis J. Varieur School,26,Pawtucket,"Varieur, Pawtucket",Elementary School,486 Pleasant Street,Pawtucket,02860,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
35125,Francis,Francis School,35,Warwick,"Francis, Warwick",Elementary School,325 Miantonomo Drive,Warwick,02888,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 06,ELEM,,
28134,Spaziano (frmly Laurel Hill),Frank D. Spazian Avenue Schoo,28,Providence,"Spaziano (frmly Laurel Hill), Providence",Elementary School,85 Laurel Hill Avenue,Providence,02909,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,02 - 05,ELEM,,
28106,Spaziano Annex (frmly Laurel,Frank D. Spaziano Annex,28,Providence,"Spaziano Annex (frmly Laurel, Providence",Elementary School,240 Laban Street,Providence,02909,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 02,ELEM,,
21106,Thompson MS,Frank E. Thompson Middle,21,Newport,"Thompson MS, Newport",Middle School,55 Broadway,Newport,02840,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,05 - 08,,MIDDLE,
09105,Frenchtown,Frenchtown School,09,East Greenwich,"Frenchtown, East Greenwich",Elementary School,1100 Frenchtown Road,East Greenwich,02818,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 03,ELEM,,
04104,Hunt,G. Harold Hunt School,04,Central Falls,"Hunt, Central Falls",Elementary School,14 Kendall Street,Central Falls,02863,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,PK - K,ELEM,,
07122,Garden City,Garden City School,07,Cranston,"Garden City, Cranston",Elementary School,70 Plantations Drive,Cranston,02920,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
08108,Garvin Memorial,Garvin Memorial,08,Cumberland,"Garvin Memorial, Cumberland",Elementary School,1364 Diamond Hill Road,Cumberland,02864,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
09108,George Hanaford,George Hanaford School,09,East Greenwich,"George Hanaford, East Greenwich",Elementary School,200 Middle Road,East Greenwich,02818,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,04 - 06,ELEM,,
07124,Peters,George J. Peters School,07,Cranston,"Peters, Cranston",Elementary School,15 Mayberry Street,Cranston,02920,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
28135,West,George J. West El. School,28,Providence,"West, Providence",Elementary School,145 Beaufort Street,Providence,02908,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 06,ELEM,,
28144,Stuart MS,Gilbert Stuart Middle School,28,Providence,"Stuart MS, Providence",Middle School,188 Princeton Avenue,Providence,02907,Non-Charter,Core City (5),Core City (6),Making Connections School,Non MC Elem School,06 - 08,,MIDDLE,
07119,Gladstone St,Gladstone Street School,07,Cranston,"Gladstone St, Cranston",Elementary School,50 Gladstone Street,Cranston,02920,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
07128,Glen Hills,Glen Hills School,07,Cranston,"Glen Hills, Cranston",Elementary School,50 Glen Hills Drive,Cranston,02920,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
39119,Globe Park,Globe Park School,39,Woonsocket,"Globe Park, Woonsocket",Elementary School,192 Avenue A,Woonsocket,02895,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,PF - 05,ELEM,,
26107,Goff Jr High,Goff Junior High,26,Pawtucket,"Goff Jr High, Pawtucket",Middle School,974 Newport Avenue,Pawtucket,02861,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,07 - 08,,MIDDLE,
35120,Gorton Jr High,Gorton Junior High School,35,Warwick,"Gorton Jr High, Warwick",Middle School,69 Draper Avenue,Warwick,02889,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,07 - 08,,MIDDLE,
39110,Gov Aram Pothier,Governor Aram J. Pothier Scho,39,Woonsocket,"Gov Aram Pothier, Woonsocket",Elementary School,420 Robinson Street,Woonsocket,02895,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,PK - 02,ELEM,,
28182,DelSesto MS,Governor Christopher DelSesto,28,Providence,"DelSesto MS, Providence",Middle School,152 Springfield Street,Providence,02909,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
38109,Greenbush,Greenbush Elementary School,38,West Warwick,"Greenbush, West Warwick",Elementary School,127 Greenbush Road,West Warwick,02893,Non-Charter,Non Core City (5),Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
35114,Greenwood,Greenwood School,35,Warwick,"Greenwood, Warwick",Elementary School,93 Sharon Street,Warwick,02886,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 06,ELEM,,
24110,Greystone,Greystone School,24,North Providence,"Greystone, North Providence",Elementary School,100 Morgan Avenue,North Providence,02911,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
96104,Guiteras,Guiteras School,96,Bristol Warren,"Guiteras, Bristol Warren",Elementary School,35 Washington Street,Bristol,02809,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
23111,Hamilton,Hamilton School,23,North Kingstown,"Hamilton, North Kingstown",Elementary School,25 Salisbury Avenue,North Kingstown,02852,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,04 - 05,ELEM,,
01105,Hampden Meadows,Hampden Meadows School,01,Barrington,"Hampden Meadows, Barrington",Elementary School,New Meadow Rd,Barrington,02806,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,04 - 05,ELEM,,
39101,Harris,Harris School,39,Woonsocket,"Harris, Woonsocket",Elementary School,60 High School Street,Woonsocket,02895,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
28161,Kizirian,Harry Kizirian Elementary,28,Providence,"Kizirian, Providence",Elementary School,60 Camden Avenue,Providence,02908,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 06,ELEM,,
32104,Hazard,Hazard School,32,South Kingstown,"Hazard, South Kingstown",Elementary School,153 School Street,South Kingstown,02879,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - PK,,,
26119,Winters,Henry J. Winters School,26,Pawtucket,"Winters, Pawtucket",Elementary School,481 Broadway,Pawtucket,02860,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 06,ELEM,,
28601,Highlander,Highlander Charter,48,Highlander,"Highlander, Highlander",Elementary and Middle Schoo,42 Lexington Ave,Providence,02907,Charter School,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 08,ELEM,,
35124,Holden,Holden School,35,Warwick,"Holden, Warwick",Elementary School,61 Hoxsie Avenue,Warwick,02889,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
35128,Holliman,Holliman School,35,Warwick,"Holliman, Warwick",Elementary School,70 Deborah Road,Warwick,02888,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
28605,Hope Arts HS,Hope Arts School,28,Providence,"Hope Arts HS, Providence",High School,326 Hope Street,Providence,02906,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
07134,Hope Highlands,Hope Highlands Elementary,07,Cranston,"Hope Highlands, Cranston",Elementary School,300 Hope Road,Cranston,02921,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
28603,Hope IT HS,Hope Information Technology,28,Providence,"Hope IT HS, Providence",High School,324 Hope Street,Providence,02906,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
30102,Hope,Hope School,30,Scituate,"Hope, Scituate",Elementary School,391 North Road,Scituate,02831,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
98107,Hope Valley Elem,Hope Valley Elementary School,98,Chariho,"Hope Valley Elem, Chariho",Elementary School,15 Thelma Drive,Hope Valley,02832,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 04,ELEM,,
06112,Hopkins Hill,Hopkins Hill School,06,Coventry,"Hopkins Hill, Coventry",Elementary School,95 Johnson Boulevard,Coventry,02816,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
27104,Hathaway,Howard Hathaway School,27,Portsmouth,"Hathaway, Portsmouth",Elementary School,Tallman Avenue,Portsmouth,02871,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
35136,Hoxsie,Hoxsie School,35,Warwick,"Hoxsie, Warwick",Elementary School,55 Glenwood Drive,Warwick,02889,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 06,ELEM,,
07115,Hugh Bain MS,Hugh B. Bain Middle School,07,Cranston,"Hugh Bain MS, Cranston",Middle School,135 Gansett Avenue,Cranston,02910,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,07 - 08,,MIDDLE,
96113,Hugh Cole,Hugh Cole School,96,Bristol Warren,"Hugh Cole, Bristol Warren",Elementary School,50 Asylum Road,Warren,02885,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
32115,Independence,Independence Transition Acade,32,South Kingstown,"Independence, South Kingstown",High School,25 West Independence Way,South Kingstown,02881,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
26601,Int'l Charter,International Charter School,53,International,"Int'l Charter, International",Elementary School,334 Pleasant Street,Pawtucket,02860,Charter School,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
26109,Jacqueline Walsh (HS),Jacqueline M. Walsh School,26,Pawtucket,"Jacqueline Walsh (HS), Pawtucket",High School,172 Exchange Street,Pawtucket,02860,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
09102,Eldredge,James H. Eldredge School,09,East Greenwich,"Eldredge, East Greenwich",Elementary School,First Avenue,East Greenwich,02818,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,04 - 06,ELEM,,
24107,McGuire,James L. McGuire School,24,North Providence,"McGuire, North Providence",Elementary School,55 Central Avenue,North Providence,02911,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
10111,Oldham,James R. D. Oldham School,10,East Providence,"Oldham, East Providence",Elementary School,640 Bullocks Point Avenue,East Providence,02915,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
15101,Jamestown-Lawn MS,Jamestown School-Lawn,15,Jamestown,"Jamestown-Lawn MS, Jamestown",Middle School,55 Lawn Avenue,Jamestown,02835,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,05 - 08,,MIDDLE,
15102,Jamestown-Melrose,Jamestown School-Melrose,15,Jamestown,"Jamestown-Melrose, Jamestown",Elementary School,76 Melrose Avenue,Jamestown,02835,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 04,ELEM,,
38107,Deering MS,John F. Deering Middle,38,West Warwick,"Deering MS, West Warwick",Middle School,2 Webster Knight Drive,West Warwick,02893,Non-Charter,Non Core City (5),Core City (6),Non MC School,Non MC Elem School,05 - 08,,MIDDLE,
38104,Horgan,John F. Horgan School,38,West Warwick,"Horgan, West Warwick",Elementary School,124 Providence Street,West Warwick,02893,Non-Charter,Non Core City (5),Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
08110,McLaughlin,John J. McLaughlin Cumberland,08,Cumberland,"McLaughlin, Cumberland",Elementary School,205 Manville Hill Road,Cumberland,02864,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,01 - 05,ELEM,,
16112,Johnston Senior HS,Johnston Senior High,16,Johnston,"Johnston Senior HS, Johnston",High School,345 Cherry Hill Road,Johnston,02919,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
24108,Whelan,Joseph A. Whelan School,24,North Providence,"Whelan, North Providence",Elementary School,1440 Mineral Spring Avenue,North Providence,02904,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
19117,Gaudet Academy,Joseph Gaudet Academy,19,Middletown,"Gaudet Academy, Middletown",Elementary School,1113 Aquidneck Ave.,Middletown,02842,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,04 - 04,ELEM,,
19114,Gaudet MS,Joseph H. Gaudet School,19,Middletown,"Gaudet MS, Middletown",Middle School,1113 Aquidneck Avenue,Middletown,02842,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,05 - 08,,MIDDLE,
26103,Jenks Jr High,Joseph Jenks Junior High,26,Pawtucket,"Jenks Jr High, Pawtucket",Middle School,350 Division Street,Pawtucket,02860,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,07 - 08,,MIDDLE,
08115,McCourt MS,Joseph L. McCourt MS,08,Cumberland,"McCourt MS, Cumberland",Middle School,45 Highland Avenue,Cumberland,02864,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
10113,Kent Heights,Kent Heights School,10,East Providence,"Kent Heights, East Providence",Elementary School,2680 Pawtucket Avenue,East Providence,02914,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
39128,Coleman,Kevin K. Coleman School,39,Woonsocket,"Coleman, Woonsocket",Elementary School,96 Second Avenue,Woonsocket,02895,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,03 - 05,ELEM,,
96112,Kickemuit MS,Kickemuit Middle School,96,Bristol Warren,"Kickemuit MS, Bristol Warren",Middle School,525 Child Street,Warren,02885,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
32601,Kingston Hill Academy,Kingston Hill Academy,52,Kingston Hill,"Kingston Hill Academy, Kingston Hill",Elementary School,850 Stony Fort Rd,South Kingstown,02874,Charter School,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
39120,Savoie,Leo A. Savoie School,39,Woonsocket,"Savoie, Woonsocket",Elementary School,990 Mendon Road,Woonsocket,02895,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
28157,Lillian Feinstein,Lillian Feinstein El. School,28,Providence,"Lillian Feinstein, Providence",Elementary School,159 Sackett Street,Providence,02907,Non-Charter,Core City (5),Core City (6),Making Connections School,Making Connections Elem School,K - 05,ELEM,,
17109,Lincoln Central,Lincoln Central Elem.,17,Lincoln,"Lincoln Central, Lincoln",Elementary School,1081 Great Road,Lincoln,02865,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,02 - 05,ELEM,,
17117,Lincoln MS,Lincoln Middle School,17,Lincoln,"Lincoln MS, Lincoln",Middle School,152 Jenckes Hill Road,Lincoln,02865,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
17110,Lincoln Senior HS,Lincoln Senior High School,17,Lincoln,"Lincoln Senior HS, Lincoln",High School,135 Old River Road,Lincoln,02865,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
35123,Lippitt,Lippitt School,35,Warwick,"Lippitt, Warwick",Elementary School,30 Almy Street,Warwick,02886,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 06,ELEM,,
17106,Lonsdale,Lonsdale Elementary,17,Lincoln,"Lonsdale, Lincoln",Elementary School,270 River Road,Lincoln,02865,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,02 - 05,ELEM,,
38105,Quinn,Maisie E. Quinn School,38,West Warwick,"Quinn, West Warwick",Elementary School,1 Brown Street,West Warwick,02893,Non-Charter,Non Core City (5),Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
24103,Marieville,Marieville School,24,North Providence,"Marieville, North Providence",Elementary School,1135 Mineral Spring Avenue,North Providence,02904,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
28163,King,Martin Luther King El. School,28,Providence,"King, Providence",Elementary School,35 Camp Street,Providence,02906,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,PK - 06,ELEM,,
28160,Fogarty,Mary E. Fogarty El. School,28,Providence,"Fogarty, Providence",Elementary School,199 Oxford Street,Providence,02905,Non-Charter,Core City (5),Core City (6),Making Connections School,Making Connections Elem School,PK - 05,ELEM,,
32113,Matunuck,Matunuck School,32,South Kingstown,"Matunuck, South Kingstown",Elementary School,380 Matunuck Beach Road,South Kingstown,02879,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
09107,Meadowbrook Farms,Meadowbrook Farms School,09,East Greenwich,"Meadowbrook Farms, East Greenwich",Elementary School,2 Chestnut Drive,East Greenwich,02818,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 03,ELEM,,
10121,Meadowcrest EC,Meadowcrest Early Childhood,10,East Providence,"Meadowcrest EC, East Providence",Elementary School,60 Bart Drive,East Providence,02915,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - PK,,,
27111,Melville,Melville School,27,Portsmouth,"Melville, Portsmouth",Elementary School,1351 West Main Road,Portsmouth,02871,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
97103,Metcalf,Metcalf School,97,Exeter-W. Greenwich,"Metcalf, Exeter-W. Greenwich",Elementary School,30 Nooseneck Hill Road,Exeter,02822,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,03 - 06,ELEM,,
28703,The MET (HS),Metropolitan Career Tech Ctr,60,MET SCHOOL,"The MET (HS), MET SCHOOL",High School,325 Public Street,Providence,02905,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
19111,Middletown HS,Middletown High School,19,Middletown,"Middletown HS, Middletown",High School,130 Valley Road,Middletown,02842,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
97102,Lineham,Mildred E. Lineham School,97,Exeter-W. Greenwich,"Lineham, Exeter-W. Greenwich",Elementary School,859 Nooseneck Hill Road,West Greenwich,02817,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - K,ELEM,,
28150,Mt Pleasant HS,Mount Pleasant High,28,Providence,"Mt Pleasant HS, Providence",High School,434 Mount Pleasant Avenue,Providence,02908,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
96107,Mt. Hope HS,Mt. Hope High School,96,Bristol Warren,"Mt. Hope HS, Bristol Warren",High School,199 Chestnut Street,Bristol,02809,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
10125,Myron Francis,Myron J. Francis Elementary,10,East Providence,"Myron Francis, East Providence",Elementary School,64 Bourne Avenue,East Providence,02916,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 05,ELEM,,
20102,Narragansett Elem,Narragansett Elementary,20,Narragansett,"Narragansett Elem, Narragansett",Elementary School,55 Mumford Road,Narragansett,02882,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 04,ELEM,,
