school1,DCFY_atrisk_DENOM,SUMDCFY_atrisk_Flag,ALL_RISKS,meanDCFY_atrisk_FLAG,total_enroll_mean,SUM_touch_DCYF_2008,number_of_students,pct_atrisk,PCT_teen_mom,M_mt_2healthrisks_intract,M_ever_retained_prior0809,M_Ever_Poverty_prior0809,M_Chronic_abs_0708,M_SchMoves_GT_2_ever,TouchDCYF_per1000,at_risk_school,violence_susp_per1000,Disaffection_susp_per1000,ANGER_susp_per1000,SUBSTANCEUSE_susp_per1000,PCT_Reading_Proficiency,PCT_MATH_Proficiency,ATRISK_06_P,ATRISK_07_P,ATRISK_08_P,ATRISK_09_P,ATRISK_10_P,ATRISK_11_P,ATRISK_12_P,NONRISK_06_P,NONRISK_07_P,NONRISK_08_P,NONRISK_09_P,NONRISK_10_P,NONRISK_11_P,NONRISK_12_P,M_touch_Ever_AV_sch_2008,
35139,605,12,0.48,0.02,1.09,0.00,605.00,1.98,0.00,0.17,3.47,30.32,11.82,2.31,0.00,0.00,77.69,67.77,14.88,1.65,79.65,63.30, ,1.67,1.98,33.33, , , , ,98.33,98.02,66.67, , , ,0.50,
36103,803,2,0.41,0.00,1.03,2.00,803.00,0.25,0.00,0.00,0.25,34.31,6.22,1.37,2.49,0.00,52.30,72.23,1.25,1.25,79.56,65.51,0.00,0.00,0.69, , , , ,100.00,100.00,99.31, , , , ,0.00,
36104,1103,98,1.44,0.09,1.05,9.00,1103.00,8.88,0.18,0.00,1.99,30.73,11.07,1.90,8.16,0.00,22.67,10.88,1.81,0.91,78.19,30.69, , , ,6.76,7.47,11.24,10.25, , , ,93.24,92.53,88.76,89.75,100.00,
38106,1271,322,1.88,0.25,1.18,21.00,1271.00,25.33,0.48,0.56,9.91,49.28,27.79,2.91,16.52,1.00,29.90,41.70,4.72, ,65.88,19.61, , ,100.00,30.72,22.71,18.91,25.86, , ,0.00,69.28,77.29,81.09,74.14,100.00,
38107,899,29,0.79,0.03,1.15,4.00,899.00,3.23,0.35,0.67,4.00,56.13,16.16,4.23,4.45,0.00,22.25,47.83,7.79, ,63.31,49.47,2.56,3.67,3.50, , , , ,97.44,96.33,96.50, , , , ,0.00,
38109,1,0,0.00,0.00,2.00,0.00,1.00,0.00, ,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , ,100.00,100.00,0.00, , , , , , ,100.00, , , , , , ,0.00,
39115,1459,206,1.53,0.14,1.12,2.00,1459.00,14.12,0.00,32.46,5.35,83.62,33.67,3.22,1.37,0.00,102.12,157.64,28.79, ,52.36,33.09,10.43,18.97,13.12, , , , ,89.57,81.03,86.88, , , , ,0.07,
39119,1,0,1.00,0.00,2.00,0.00,1.00,0.00, ,0.00,0.00,0.00,100.00,0.00,0.00,0.00, , , , , , ,0.00, , , , , , ,100.00, , , , , , ,0.00,
39123,1949,1006,2.55,0.52,1.10,33.00,1949.00,51.62,1.64,28.00,11.65,70.80,48.53,1.95,16.93,1.00,37.97,52.85,4.62,1.03,51.38,15.20,100.00, ,100.00,56.70,50.00,50.25,46.53,0.00, ,0.00,43.30,50.00,49.75,53.47,100.00,
39601,200,41,1.42,0.21,1.08,2.00,200.00,20.50,0.85,16.75,20.00,58.29,48.30,4.50,10.00,1.00,5.00,20.00, , ,79.07,13.95, , , ,25.40,21.05,21.05,4.35, , , ,74.60,78.95,78.95,95.65,4.00,
96107,1185,224,1.75,0.19,1.05,5.00,1185.00,18.90,0.36,0.00,14.01,36.85,25.13,1.35,4.22,0.00,54.85,66.67,7.59,2.53,86.49,37.30, , ,0.00,18.84,19.73,14.73,21.99, , ,100.00,81.16,80.27,85.27,78.01,100.00,
96112,813,13,0.52,0.02,1.04,0.00,813.00,1.60,0.00,0.12,3.20,37.71,11.57,1.60,0.00,0.00,39.36,29.52,4.92,4.92,80.65,66.37,0.39,2.46,1.82, , , , ,99.61,97.54,98.18, , , , ,0.00,
97103,159,1,0.30,0.01,1.00,0.00,159.00,0.63, ,0.00,1.26,24.84,3.95,1.26,0.00,0.00,18.87,12.58, , ,71.70,64.78,0.63, , , , , , ,99.37, , , , , , ,0.00,
97105,332,2,0.25,0.01,1.03,0.00,332.00,0.60,0.00,0.00,4.22,15.50,4.57,0.90,0.00,0.00,3.01,78.31,12.05, ,78.59,69.72, ,0.00,1.22, , , , , ,100.00,98.78, , , , ,0.00,
97106,657,8,0.29,0.01,1.05,1.00,657.00,1.22,0.00,0.00,1.83,16.13,8.44,0.15,1.52,0.00,7.61,24.35,6.09,1.52,85.96,38.26, ,0.00, ,2.30,1.82,0.68,0.00, ,100.00, ,97.70,98.18,99.32,100.00,2.74,
98101,1254,119,1.46,0.09,1.06,5.00,1254.00,9.49,0.00,0.08,5.34,24.01,16.42,0.96,3.99,0.00,15.95,13.56,3.19, ,76.32,29.26, , , ,12.54,6.88,8.71,9.87, , , ,87.46,93.12,91.29,90.13,100.00,
98103,861,5,0.34,0.01,1.04,0.00,861.00,0.58,0.00,0.00,1.63,26.06,5.59,0.81,0.00,0.00,10.45,5.81,1.16, ,80.80,63.96,0.69,0.68,0.36, , , , ,99.31,99.32,99.64, , , , ,0.00,
98108,59,10,1.32,0.17,1.36,4.00,59.00,16.95,0.00,0.00,18.64,42.37,47.46,10.17,67.80,0.00,33.90,305.08,16.95, ,31.82,9.09,0.00,20.00,8.33,27.27,18.18,20.00,18.18,100.00,80.00,91.67,72.73,81.82,80.00,81.82,13.56,
99101,592,3,0.33,0.01,1.03,0.00,592.00,0.51,0.51,0.18,2.36,23.66,6.76,1.01,0.00,0.00,59.12,10.14,5.07, ,70.02,58.38,0.00,0.49,0.96, , , , ,100.00,99.51,99.04, , , , ,0.00,
99102,922,67,1.36,0.07,1.04,4.00,922.00,7.27,0.00,0.11,2.39,16.94,16.41,0.76,4.34,0.00,18.44,110.63,10.85,1.08,82.56,29.65, , ,100.00,9.43,6.36,4.43,7.73, , ,0.00,90.57,93.64,95.57,92.27,100.00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
