school1,DCFY_atrisk_DENOM,SUMDCFY_atrisk_Flag,ALL_RISKS,meanDCFY_atrisk_FLAG,total_enroll_mean,SUM_touch_DCYF_2008,number_of_students,pct_atrisk,PCT_teen_mom,M_mt_2healthrisks_intract,M_ever_retained_prior0809,M_Ever_Poverty_prior0809,M_Chronic_abs_0708,M_SchMoves_GT_2_ever,TouchDCYF_per1000,at_risk_school,violence_susp_per1000,Disaffection_susp_per1000,ANGER_susp_per1000,SUBSTANCEUSE_susp_per1000,PCT_Reading_Proficiency,PCT_MATH_Proficiency,ATRISK_06_P,ATRISK_07_P,ATRISK_08_P,ATRISK_09_P,ATRISK_10_P,ATRISK_11_P,ATRISK_12_P,NONRISK_06_P,NONRISK_07_P,NONRISK_08_P,NONRISK_09_P,NONRISK_10_P,NONRISK_11_P,NONRISK_12_P,M_touch_Ever_AV_sch_2008,
26125,52,7,1.50,0.13,1.33,0.00,52.00,13.46, ,35.29,13.46,87.76,14.29,5.77,0.00,0.00,38.46, , , ,70.59,52.94,13.46, , , , , , ,86.54, , , , , , ,0.00,
26602,163,22,1.64,0.13,1.03,0.00,163.00,13.50,0.00,39.88,15.34,88.75,20.38,2.45,0.00,0.00,24.54,79.75,6.13, ,71.43,5.71, , , ,8.11,13.33,11.11,22.22, , , ,91.89,86.67,88.89,77.78,0.00,
27106,1089,74,1.30,0.07,1.11,40.00,1089.00,6.80,0.37,1.02,1.93,15.11,11.10,2.30,36.73,0.00,18.37,20.20,7.35,1.84,91.43,42.38, , , ,10.88,8.08,3.97,2.53, , , ,89.12,91.92,96.03,97.47,100.00,
27112,693,13,0.26,0.02,1.09,7.00,693.00,1.88,0.00,0.58,1.15,16.64,8.05,1.15,10.10,0.00,33.19,36.08,7.22,2.89,81.59,78.18,0.47,2.75,2.20, , , , ,99.53,97.25,97.80, , , , ,0.00,
28113,683,399,2.69,0.58,1.36,34.00,683.00,58.42,4.56,74.24,23.72,97.46,66.62,9.08,49.78,1.00,67.35,43.92,21.96,1.46,52.38,4.76, , , ,59.71,62.99,52.13,58.23, , , ,40.29,37.01,47.87,41.77,4.39,
28121,26,2,2.08,0.08,1.08,0.00,26.00,7.69, ,96.15,3.85,100.00,7.69,0.00,0.00,0.00, , , , ,73.08,46.15,7.69, , , , , , ,92.31, , , , , , ,0.00,
28122,69,12,2.10,0.17,1.09,0.00,69.00,17.39, ,88.24,5.80,100.00,17.65,1.45,0.00,0.00, ,14.49, , ,38.10,25.76,17.39, , , , , , ,82.61, , , , , , ,0.00,
28127,44,16,2.32,0.36,1.27,0.00,44.00,36.36, ,83.72,15.91,97.67,34.88,4.55,0.00,1.00, , , , ,71.79,56.41,36.36, , , , , , ,63.64, , , , , , ,0.00,
28130,33,4,1.58,0.12,1.39,0.00,33.00,12.12, ,30.30,6.06,96.77,22.58,9.09,0.00,0.00,90.91,60.61, , ,58.62,44.83,12.12, , , , , , ,87.88, , , , , , ,0.00,
28131,79,31,2.29,0.39,1.10,0.00,79.00,39.24,2.86,63.64,36.71,100.00,24.68,5.06,0.00,1.00, ,12.66, , ,0.00,0.00, , , ,47.37,43.75,35.71,33.33, , , ,52.63,56.25,64.29,66.67,2.53,
