school_year,LabelStateCode,LabelSchoolNameShort,LabelSchoolNameLong,LabelDistCode,LabelDistrict,LabelSch+District,LabelGradeConfig,LabelCharterSch,LabelSchCoreCity4,LabelSchCoreCity5,LabelSchCoreCity6,LabelGradeConfigAbbr,LabelSchCity,LabelElementary,LabelMiddle,LabelHigh,LabelSchMCSch,LabelSchMCElemSch,ACT_CEEB_code,nces_code,ctract2010,ctract2000,neighborhood
2011-2012,27111,Melville,Melville Elementary School,27,Portsmouth,Melville - Portsmouth,Elementary,N,N,N,N,PK to 3,Portsmouth,Y,N,N,N,N,,440087000206,44005040103,44005040103,
2011-2012,27112,Portsmouth MS,Portsmouth Middle School,27,Portsmouth,Portsmouth MS - Portsmouth,Middle,N,N,N,N,4 to 8,Portsmouth,N,Y,N,N,N,,440087000208,44005040103,44005040103,
2011-2012,28103,Lima Anx,Alfred Lima Annex,28,Providence,Lima Anx - Providence,Elementary,N,Y,Y,Y,PK to 5,Providence,Y,N,N,Y,Y,,440090000237,44007000300,44007000300,West End
2011-2012,28106,Spaziano Anx,Frank Spaziano Annex,28,Providence,Spaziano Anx - Providence,Elementary,N,Y,Y,Y,K to 2,Providence,Y,N,N,N,N,,440090000093,44007001800,44007001800,Hartford
2011-2012,28113,Alvarez HS,Dr. Jorge Alvarez High School,28,Providence,Alvarez HS - Providence,High,N,Y,Y,Y,9 to 12,Providence,N,N,Y,N,N,400001,440090000344,44007001500,44007001500,Reservoir
2011-2012,28115,Messer,Asa Messer Elementary School,28,Providence,Messer - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,Y,Y,,440090000213,44007001000,44007001000,Federal Hill
2011-2012,28116,ASF @ Broad,Alan Shawn Feinstein Elementary at Broad Street,28,Providence,ASF @ Broad - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,N,N,,440090000215,44007000102,44007000102,Washington Park
2011-2012,28121,Lima,Alfred Lima Sr. Elementary School,28,Providence,Lima - Providence,Elementary,N,Y,Y,Y,2 to 5,Providence,Y,N,N,Y,Y,,440090000124,44007000300,44007000300,West End
2011-2012,28122,Fortes,Charles Fortes Elementary School,28,Providence,Fortes - Providence,Elementary,N,Y,Y,Y,PK to 1,Providence,Y,N,N,Y,Y,,440090000133,44007000300,44007000300,West End
2011-2012,28127,Webster Ave,Webster Avenue School,28,Providence,Webster Ave - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,N,N,,440090000247,44007001600,44007001600,Silver Lake
2011-2012,28130,Veazie St,Veazie Street School,28,Providence,Veazie St - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,N,N,,440090000013,44007002800,44007002800,Wanskuck
2011-2012,28131,Birch Voc. HS,Birch Vocational Center,28,Providence,Birch Voc. HS - Providence,High,N,Y,Y,Y,9 to 12,Providence,N,N,Y,N,N,,440090000214,44007002400,44007002400,Mount Pleasant
2011-2012,28134,Spaziano,Frank Spaziano Avenue Elementary School,28,Providence,Spaziano - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,N,N,,440090000228,44007001800,44007001800,Hartford
2011-2012,28135,West,George J. West Elementary School,28,Providence,West - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,N,N,,440090000222,44007002102,44007002100,Mount Pleasant
2011-2012,28137,Hopkins MS,Esek Hopkins Middle School,28,Providence,Hopkins MS - Providence,Middle,N,Y,Y,Y,6 to 8,Providence,N,Y,N,N,N,,440090000401,44007002900,44007002900,Charles
2011-2012,28138,Kennedy,Robert F. Kennedy Elementary School,28,Providence,Kennedy - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,N,N,,440090000241,44007002400,44007002400,Elmhurst
2011-2012,28139,Central HS,Central High School,28,Providence,Central HS - Providence,High,N,Y,Y,Y,9 to 12,Providence,N,N,Y,Y,N,400145,440090000217,44007000700,44007000700,Upper South Providence
2011-2012,28140,Lauro,Carl G. Lauro Elementary School,28,Providence,Lauro - Providence,Elementary,N,Y,Y,Y,PK to 5,Providence,Y,N,N,N,N,,440090000227,44007001100,44007001100,Federal Hill
2011-2012,28142,Reservoir Ave,Reservoir Avenue School,28,Providence,Reservoir Ave - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,N,N,,440090000240,44007001500,44007001500,Reservoir
2011-2012,28143,Bishop MS,Nathan Bishop Middle School,28,Providence,Bishop MS - Providence,Middle,N,Y,Y,Y,6 to 8,Providence,N,Y,N,N,N,,440090000474,44007003400,44007003400,Blackstone
2011-2012,28144,Stuart MS,Gilbert Stuart Middle School,28,Providence,Stuart MS - Providence,Middle,N,Y,Y,Y,6 to 8,Providence,N,Y,N,Y,N,,440090000223,44007000300,44007000300,West End
2011-2012,28145,Greene MS,Nathanael Greene Middle School,28,Providence,Greene MS - Providence,Middle,N,Y,Y,Y,6 to 8,Providence,N,Y,N,N,N,,440090000234,44007002300,44007002300,Elmhurst
2011-2012,28147,Roger Williams MS,Roger Williams Middle School,28,Providence,Roger Williams MS - Providence,Middle,N,Y,Y,Y,6 to 8,Providence,N,Y,N,Y,N,,440090000242,44007000500,44007000500,Lower South Providence
2011-2012,28150,Mt. Pleasant HS,Mount Pleasant High School,28,Providence,Mt. Pleasant HS - Providence,High,N,Y,Y,Y,9 to 12,Providence,N,N,Y,N,N,400185,440090000232,44007002400,44007002400,Mount Pleasant
2011-2012,28151,Gregorian,Vartan Gregorian Elementary School,28,Providence,Gregorian - Providence,Elementary,N,Y,Y,Y,PK to 5,Providence,Y,N,N,N,N,,440090000221,44007003700,44007003700,Fox Point
2011-2012,28153,D'Abate,William D'Abate Elementary School,28,Providence,D'Abate - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,N,N,,440090000248,44007001900,44007001900,Olneyville
2011-2012,28156,Bailey,Robert L. Bailey IV Elementary School,28,Providence,Bailey - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,Y,Y,,440090000071,44007000400,44007000400,Lower South Providence
2011-2012,28157,Feinstein @ Sackett St,Lillian Feinstein Elementary at Sackett Street,28,Providence,Feinstein @ Sackett St - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,Y,Y,,440090000243,44007000200,44007000200,Elmwood
2011-2012,28160,Fogarty,Mary E. Fogarty Elementary School,28,Providence,Fogarty - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,Y,Y,,440090000231,44007000400,44007000400,Lower South Providence
2011-2012,28161,Kizirian,Harry Kizirian Elementary School,28,Providence,Kizirian - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,N,N,,440090000216,44007002600,44007002600,Smith Hill
2011-2012,28162,Woods & Young,The Sgt. Cornel Young Jr. & Charlotte Woods Elementary School @ The B. Joe Clanton Complex,28,Providence,Woods & Young - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,Y,Y,,440090000156,44007000500,44007000500,Lower South Providence
2011-2012,28163,King,Dr. Martin Luther King Jr. Elementary School,28,Providence,King - Providence,Elementary,N,Y,Y,Y,K to 5,Providence,Y,N,N,N,N,,440090000230,44007003100,44007003100,Mount Hope
2011-2012,28164,Classical HS,Classical High School,28,Providence,Classical HS - Providence,High,N,Y,Y,Y,9 to 12,Providence,N,N,Y,Y,N,400150,440090000218,44007000700,44007000700,Upper South Providence
2011-2012,28165,Pleasant View,Pleasant View School,28,Providence,Pleasant View - Providence,Elementary,N,Y,Y,Y,PK to 5,Providence,Y,N,N,N,N,,440090000236,44007002400,44007002400,Mount Pleasant
2011-2012,28167,UCAP,Urban Collaborative Accelerated Program,49,Urban Collaborative,UCAP - UCAP,Middle,N,Y,Y,Y,7 to 8,Providence,N,Y,N,N,N,,440000500271,44007001100,44007001100,Federal Hill
2011-2012,28170,Times2,Times2 Academy,28,Providence,Times2 - Providence,"Elem,Middle,High",Y,Y,Y,Y,K to 12,Providence,Y,Y,Y,N,N,400144,440090000157,44007002600,44007002600,Smith Hill
2011-2012,28178,ACES (HS),Academy for Career Exploration,28,Providence,ACES (HS) - Providence,High,Y,Y,Y,Y,9 to 12,Providence,N,N,Y,N,N,400146,440090000055,44007001100,44007001100,Federal Hill
2011-2012,28181,Carnevale,Anthony Carnevale Elementary School,28,Providence,Carnevale - Providence,Elementary,N,Y,Y,Y,PK to 5,Providence,Y,N,N,N,N,,440090000162,44007001800,44007001800,Hartford
2011-2012,28182,DelSesto MS,Governor Christopher DelSesto Middle School,28,Providence,DelSesto MS - Providence,Middle,N,Y,Y,Y,6 to 8,Providence,N,Y,N,N,N,,440090000175,44007001800,44007001800,Hartford
2011-2012,28187,E-Cubed Academy (HS),E-Cubed Academy,28,Providence,E-Cubed Academy (HS) - Providence,High,N,Y,Y,Y,9 to 12,Providence,N,N,Y,N,N,400157,440090000323,44007002800,44007002800,Wanskuck
2011-2012,28189,Cooley/PAIS HS @ Juanita Sanchez,William B. Cooley Senior High School & Providence Academy of International Studies @ The Juanita San,28,Providence,Cooley/PAIS HS @ Juanita Sanchez - Providence,High,N,Y,Y,Y,9 to 12,Providence,N,N,Y,Y,N,400183,440090000209,44007000500,44007000500,Lower South Providence
2011-2012,28193,Prov Career & Tech HS,Providence Career & Technical Academy,28,Providence,Prov Career & Tech HS - Providence,High,N,Y,Y,Y,9 to 12,Providence,N,N,Y,Y,N,400142,440090000467,44007001200,44007001200,West End
2011-2012,28601,Highlander,Highlander Charter School,48,Highlander,Highlander - Highlander Charter,"Elem,Middle",Y,Y,Y,Y,K to 8,Providence,Y,Y,N,N,N,,440003100455,44007000200,44007000200,Elmwood
2011-2012,28602,Cuffee,Paul Cuffee Charter School,51,Paul Cuffee Charter Sch,Cuffee - Cuffee Charter,"Elem,Middle,High",Y,Y,Y,Y,K to 10,Providence,Y,Y,Y,N,N,400142,440003200220,44007002500,44007002500,Valley
2011-2012,28603,Hope Info Tech HS,Hope Information Technology School,28,Providence,Hope Info Tech HS - Providence,High,N,Y,Y,Y,9 to 12,Providence,N,N,Y,N,N,400161,440090000314,44007003602,44007003602,College Hill
2011-2012,28605,Hope Arts HS,Hope Arts School,28,Providence,Hope Arts HS - Providence,High,N,Y,Y,Y,9 to 12,Providence,N,N,Y,N,N,400163,440090000322,44007003602,44007003602,College Hill
2011-2012,28606,TAPA,Trinity Academy for the Performing Arts,61,Trinity Academy for the Performing Arts,TAPA - TAPA Charter,Middle,Y,Y,Y,Y,7 to 8,Providence,N,Y,N,N,N,,440001800478,44007001300,44007001300,West End
