Schcode,PCT_Reading_Prof_11_09,PCT_Math_Prof_11_09,PCT_WRITE_Prof_11_09,PCT_RECODE_StuQ1_11,PCT_RECODE_StuQ2_11,PCT_RECODE_StuQ3_11,PCT_RECODE_StuQ4_11,PCT_RECODE_StuQ12_11,PCT_RECODE_StuQ13_11,PCT_RECODE_StuQ14_11,PCT_RECODE_StuQ15_11,PCT_RECODE_StuQ16_11,PCT_RECODE_StuQ17_11,PCT_RECODE_StuQ18_11,PCT_RECODE_StuQ19_11,PCT_RECODE_StuQ20_11,PCT_RECODE_StuQ22_11,PCT_RECODE2_StuQ23_11,PCT_RECODE_StuQ25_11,PCT_RECODE_StuQ26_11,PCT_RECODE_StuQ27_11,PCT_RECODE2_StuQ27_11,PCT_RECODE_StuQ28_11,PCT_RECODE2_StuQ28_11,PCT_RECODE2_StuQ29_11,PCT_RECODE_StuQ30_11,PCT_RECODE2_StuQ30_11,PCT_RECODE3_StuQ30_11,PCT_RECODE4_StuQ30_11,PCT_RECODE_StuQ31_11,PCT_RECODE_StuQ32_11,PCT_RECODE_StuQ33_11,PCT_RECODE_StuQ34_11,PCT_RECODE_StuQ35_11,PCT_RECODE2_StuQ36_11,PCT_StuQ1_11_WNP_Harder,PCT_StuQ1_11_WP_Harder,PCT_StuQ2_11_WNP_LessEffort,PCT_StuQ2_11_WP_LessEffort,PCT_StuQ3_11_WNP_NotEnoughTime,PCT_StuQ3_11_WP_NotEnoughTime,PCT_StuQ4_11_WNP_LessThanDaily,PCT_StuQ4_11_WP_LessThanDaily,PCT_StuQ12_11_RP_Harder,PCT_StuQ12_11_RNP_Harder,PCT_StuQ13_11_RP_LessInteresting,PCT_StuQ13_11_RNP_LessInteresting,PCT_StuQ14_11_RP_LessEffort,PCT_StuQ14_11_RNP_LessEffort,PCT_StuQ15_11_RP_MoreDifficult,PCT_StuQ15_11_RNP_MoreDifficult,PCT_StuQ16_11_RP_NotEnoughTime,PCT_StuQ16_11_RNP_NotEnoughTime,PCT_StuQ17_11_RP_LessThanWeekly,PCT_StuQ17_11_RNP_LessThanWeekly,PCT_StuQ18_11_RP_LessThanWeekly,PCT_StuQ18_11_RNP_LessThanWeekly,PCT_StuQ19_11_RP_InClass,PCT_StuQ19_11_RNP_InClass,PCT_StuQ20_11_RP_LessThanWeekly,PCT_StuQ20_11_RNP_LessThanWeekly,PCT_StuQ22_11_RP_LessThanDaily,PCT_StuQ22_11_RNP_LessThanDaily,PCT_StuQ232_11_RP_AorB,PCT_StuQ232_11_RNP_AorB,PCT_StuQ25_11_MP_PreparedLYr,PCT_StuQ25_11_MNP_PreparedLYr,PCT_StuQ26_11_MP_PreparedTYr,PCT_StuQ26_11_MNP_PreparedTYr,PCT_StuQ27_11_MNP_Harder,PCT_StuQ27_11_MP_Harder,PCT_StuQ28_11_MNP_moreEffort,PCT_StuQ28_11_MP_moreEffort,PCT_StuQ30_11_MNP_LackMK,PCT_StuQ30_11_MP_LackMK,PCT_StuQ302_11_MNP_NEtime,PCT_StuQ302_11_MP_NEtime,PCT_StuQ31_11_MP_MoreThanWeekly,PCT_StuQ31_11_MNP_moreThanWeekly,PCT_StuQ32_11_MP_moreThanWeekly,PCT_StuQ32_11_MNP_moreThanWeekly,PCT_StuQ33_11_MP_moreThanWeekly,PCT_StuQ33_11_MNP_moreThanWeekly,PCT_StuQ34_11_MP_moreThanWeekly,PCT_StuQ34_11_MNP_moreThanWeekly,PCT_StuQ35_11_MNP_atleastDaily,PCT_StuQ35_11_MP_atleastDaily,PCT_StuQ362_11_MP_AorB,PCT_StuQ362_11_MNP_AorB,PCT_TOOKTESTANDSURVEY_11,PCT_MNP_YESSVRY_11_09,PCT_MP_YESSVRY_11_09,PCT_RNP_YESSVRY_11_09,PCT_RP_YESSVRY_11_09,PCT_WNP_YESSVRY_11_09,PCT_WP_YESSVRY_11_09
7702,28.57,0.00,0.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00, , , , , , 
8114,82.57,34.32,56.25,13.65,8.31,5.04,6.67,12.39,57.96,77.11,9.12,8.06,15.77,46.53,88.29,51.64,65.77,73.80,85.33,79.88,62.31,13.98,10.24,40.96,38.21,69.42,5.50,5.20,19.88,61.38,94.63,93.43,73.35,25.61,65.77,21.32,7.65,4.79,11.81,4.08,5.88,91.67,94.82,10.14,23.64,56.63,64.81,78.06,72.22,8.66,11.54,91.81,92.59,12.77,31.48,46.21,48.15,90.32,77.78,51.79,50.91,90.73,26.72,76.16,60.78,94.92,80.09,94.12,71.96,78.77,32.48,93.24,84.00,54.76,78.61,5.02,6.48,63.87,60.00,95.76,94.01,98.32,90.74,70.34,75.00,10.13,40.00,83.19,56.22,90.11,88.98,92.97,84.62,91.56,84.47,94.69
8120,16.67,0.00,0.00,33.33,14.29,14.29,33.33,28.57,85.71,71.43,0.00,0.00,42.86,85.71,57.14,42.86,85.71,85.71,14.29,42.86,57.14,0.00,28.57,28.57,28.57,42.86,0.00,28.57,28.57,42.86,14.29,42.86,28.57,33.33,57.14,25.00, , , ,100.00, ,100.00, , ,40.00,100.00,80.00,100.00,60.00, , ,100.00,100.00,100.00,20.00,100.00,80.00, ,80.00, ,40.00,50.00,100.00,100.00,80.00, ,16.67, ,50.00,50.00, ,100.00, , ,100.00, , , ,50.00, ,16.67, ,50.00, ,16.67, ,100.00, ,50.00,100.00,100.00, ,100.00,100.00,100.00, 
9106,92.93,71.20,82.61,6.40,23.26,4.65,11.76,8.43,70.83,89.76,5.36,11.76,12.94,27.22,76.19,62.13,44.12,84.52,88.17,82.94,37.28,28.40,15.98,16.57,24.85,62.00,7.33,8.67,22.00,47.34,91.72,65.09,82.84,25.60,77.98,10.71,5.56,5.93,61.11,0.72,20.59,59.52,97.66,7.14,25.00,71.34,63.64,89.68,90.91,4.49,16.67,87.97,91.67,11.39,33.33,24.84,58.33,76.92,66.67,62.42,58.33,90.91,5.38,89.10,25.00,92.68,76.09,90.32,63.04,73.91,23.58,69.39,90.00,85.07,43.37,16.98,2.06,46.34,50.00,90.24,95.65,57.72,84.78,81.45,86.67,47.62,12.38,88.52,50.00,92.39,86.79,94.66,92.31,92.40,87.50,93.42
10112,61.81,13.70,44.34,21.88,9.40,6.88,30.57,20.45,64.65,69.33,18.85,12.81,31.11,37.78,80.25,64.95,47.60,77.60,56.59,43.59,66.02,9.39,20.86,37.75,32.37,57.57,7.89,6.25,28.29,34.41,82.75,82.17,73.40,35.69,64.86,28.11,12.98,14.18,5.75,10.22,4.47,74.58,63.16,15.14,28.69,67.02,60.80,74.59,61.42,12.83,28.00,91.05,81.40,27.66,36.51,34.92,42.40,82.45,76.80,66.67,62.10,57.59,37.01,82.80,69.42,88.57,52.36,72.97,39.78,70.59,33.33,98.13,32.95,13.08,91.33,2.68,40.48,25.00,35.64,97.22,81.16,86.49,81.52,80.56,72.36,4.44,78.46,83.33,62.32,76.01,78.55,64.91,80.63,73.36,80.09,71.20
10302,9.09,0.00,0.00,70.00,10.00,10.00,30.00,70.00,60.00,70.00,44.44,30.00,77.78,80.00,100.00,66.67,100.00,66.67,11.11,0.00,77.78,11.11,37.50,37.50,44.44,55.56,22.22,22.22,0.00,33.33,33.33,55.56,77.78,11.11,55.56,70.00, ,100.00, ,100.00, ,100.00, ,100.00,66.67,100.00,55.56,100.00,66.67,100.00,37.50,100.00,66.67,100.00,75.00,100.00,77.78,100.00,100.00,100.00,62.50,100.00,100.00,100.00,62.50, ,11.11, , ,77.78, ,100.00, , ,100.00, ,100.00, ,33.33, ,33.33, ,55.56, ,77.78, ,100.00, ,55.56,83.33,83.33, ,90.00,100.00,83.33, 
10305, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10311,0.00,0.00,0.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00, , , , , , 
13301,66.67,0.00,33.33,100.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,0.00,100.00,0.00,50.00,50.00,100.00,100.00,50.00,0.00,100.00,0.00,0.00,50.00,100.00,50.00,0.00,50.00,0.00,100.00,50.00,100.00,50.00,50.00,50.00,100.00,100.00, , , , ,100.00,100.00, , , ,100.00, ,100.00, ,100.00,100.00, ,100.00,100.00, , , ,100.00, ,100.00,100.00,100.00,100.00, , ,50.00, , ,100.00, ,100.00, , ,100.00, , , ,100.00, ,50.00, ,100.00, ,50.00, ,100.00, ,50.00,66.67,66.67, ,100.00,50.00,50.00,100.00
16112,63.01,18.26,51.14,15.02,11.27,8.45,16.99,16.35,63.68,76.30,14.22,12.15,24.88,32.08,70.42,51.20,41.43,72.17,70.09,67.29,64.59,8.61,15.38,42.79,33.01,62.86,3.33,7.62,26.19,34.13,90.19,85.92,69.86,31.73,64.45,22.55,8.18,13.45,8.60,3.96,12.61,86.90,80.17,14.71,18.31,67.41,56.58,78.68,71.62,10.37,21.33,90.37,83.33,20.90,31.08,29.85,36.36,67.65,75.00,49.62,53.33,56.70,28.57,76.69,65.38,92.50,64.74,92.50,61.27,66.67,55.00,95.30,56.90,27.38,87.20,1.78,10.00,43.59,31.55,90.00,90.75,87.50,85.47,64.10,71.01,2.73,64.95,82.50,60.00,97.72,97.21,100.00,96.30,98.55,96.26,99.11
