Schcode,PCT_Reading_Prof_11_09,PCT_Math_Prof_11_09,PCT_WRITE_Prof_11_09,PCT_RECODE_StuQ1_11,PCT_RECODE_StuQ2_11,PCT_RECODE_StuQ3_11,PCT_RECODE_StuQ4_11,PCT_RECODE_StuQ12_11,PCT_RECODE_StuQ13_11,PCT_RECODE_StuQ14_11,PCT_RECODE_StuQ15_11,PCT_RECODE_StuQ16_11,PCT_RECODE_StuQ17_11,PCT_RECODE_StuQ18_11,PCT_RECODE_StuQ19_11,PCT_RECODE_StuQ20_11,PCT_RECODE_StuQ22_11,PCT_RECODE2_StuQ23_11,PCT_RECODE_StuQ25_11,PCT_RECODE_StuQ26_11,PCT_RECODE_StuQ27_11,PCT_RECODE2_StuQ27_11,PCT_RECODE_StuQ28_11,PCT_RECODE2_StuQ28_11,PCT_RECODE2_StuQ29_11,PCT_RECODE_StuQ30_11,PCT_RECODE2_StuQ30_11,PCT_RECODE3_StuQ30_11,PCT_RECODE4_StuQ30_11,PCT_RECODE_StuQ31_11,PCT_RECODE_StuQ32_11,PCT_RECODE_StuQ33_11,PCT_RECODE_StuQ34_11,PCT_RECODE_StuQ35_11,PCT_RECODE2_StuQ36_11,PCT_StuQ1_11_WNP_Harder,PCT_StuQ1_11_WP_Harder,PCT_StuQ2_11_WNP_LessEffort,PCT_StuQ2_11_WP_LessEffort,PCT_StuQ3_11_WNP_NotEnoughTime,PCT_StuQ3_11_WP_NotEnoughTime,PCT_StuQ4_11_WNP_LessThanDaily,PCT_StuQ4_11_WP_LessThanDaily,PCT_StuQ12_11_RP_Harder,PCT_StuQ12_11_RNP_Harder,PCT_StuQ13_11_RP_LessInteresting,PCT_StuQ13_11_RNP_LessInteresting,PCT_StuQ14_11_RP_LessEffort,PCT_StuQ14_11_RNP_LessEffort,PCT_StuQ15_11_RP_MoreDifficult,PCT_StuQ15_11_RNP_MoreDifficult,PCT_StuQ16_11_RP_NotEnoughTime,PCT_StuQ16_11_RNP_NotEnoughTime,PCT_StuQ17_11_RP_LessThanWeekly,PCT_StuQ17_11_RNP_LessThanWeekly,PCT_StuQ18_11_RP_LessThanWeekly,PCT_StuQ18_11_RNP_LessThanWeekly,PCT_StuQ19_11_RP_InClass,PCT_StuQ19_11_RNP_InClass,PCT_StuQ20_11_RP_LessThanWeekly,PCT_StuQ20_11_RNP_LessThanWeekly,PCT_StuQ22_11_RP_LessThanDaily,PCT_StuQ22_11_RNP_LessThanDaily,PCT_StuQ232_11_RP_AorB,PCT_StuQ232_11_RNP_AorB,PCT_StuQ25_11_MP_PreparedLYr,PCT_StuQ25_11_MNP_PreparedLYr,PCT_StuQ26_11_MP_PreparedTYr,PCT_StuQ26_11_MNP_PreparedTYr,PCT_StuQ27_11_MNP_Harder,PCT_StuQ27_11_MP_Harder,PCT_StuQ28_11_MNP_moreEffort,PCT_StuQ28_11_MP_moreEffort,PCT_StuQ30_11_MNP_LackMK,PCT_StuQ30_11_MP_LackMK,PCT_StuQ302_11_MNP_NEtime,PCT_StuQ302_11_MP_NEtime,PCT_StuQ31_11_MP_MoreThanWeekly,PCT_StuQ31_11_MNP_moreThanWeekly,PCT_StuQ32_11_MP_moreThanWeekly,PCT_StuQ32_11_MNP_moreThanWeekly,PCT_StuQ33_11_MP_moreThanWeekly,PCT_StuQ33_11_MNP_moreThanWeekly,PCT_StuQ34_11_MP_moreThanWeekly,PCT_StuQ34_11_MNP_moreThanWeekly,PCT_StuQ35_11_MNP_atleastDaily,PCT_StuQ35_11_MP_atleastDaily,PCT_StuQ362_11_MP_AorB,PCT_StuQ362_11_MNP_AorB,PCT_TOOKTESTANDSURVEY_11,PCT_MNP_YESSVRY_11_09,PCT_MP_YESSVRY_11_09,PCT_RNP_YESSVRY_11_09,PCT_RP_YESSVRY_11_09,PCT_WNP_YESSVRY_11_09,PCT_WP_YESSVRY_11_09
17110,83.97,52.30,70.17,15.65,4.80,9.57,15.35,17.70,59.21,70.48,10.62,11.35,10.96,15.42,82.30,56.89,45.37,70.22,83.63,76.55,63.23,11.66,5.83,48.43,32.74,59.52,10.48,8.57,21.43,77.68,91.96,95.02,84.00,34.67,72.65,23.88,11.80,3.13,8.96,4.55,18.92,71.05,92.00,14.36,31.43,56.84,74.29,72.49,62.86,7.94,22.86,90.05,82.86,5.76,38.24,11.05,41.18,83.60,76.47,54.79,67.65,84.16,14.63,73.54,51.52,92.44,73.58,90.76,61.32,81.90,46.15,94.23,94.07,60.00,58.65,12.15,8.82,83.90,71.43,94.92,88.57,95.76,95.10,83.19,85.71,32.53,35.46,89.74,54.29,95.82,95.61,96.00,92.11,96.48,94.37,96.41
17336,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,100.00,0.00,100.00,100.00,100.00, , , , , , ,100.00, , , , , , , , , , ,100.00, ,100.00, , , ,100.00, , , ,100.00, ,100.00, ,100.00, ,100.00, , ,100.00, , ,100.00, , , ,100.00, ,100.00, , , ,100.00, ,100.00, ,100.00,100.00,100.00, ,100.00, ,100.00, 
17701,85.47,27.33,50.00,25.75,2.38,12.73,6.71,27.95,62.96,48.17,18.29,20.73,34.76,51.83,60.24,52.73,56.02,60.37,27.71,25.00,74.10,7.23,6.06,69.70,34.34,73.78,5.49,4.88,15.85,23.35,89.22,91.62,73.65,28.92,53.94,20.73,30.59,4.49, ,12.94,12.50,91.46,95.12,26.09,39.13,63.77,58.33,47.14,54.17,17.86,20.83,80.71,70.83,34.29,37.50,52.52,48.00,60.99,56.00,51.06,62.50,84.69,14.71,63.31,44.00,63.04,14.17,56.52,13.11,80.83,56.52,97.39,86.00,51.79,85.19,2.59,12.50,34.78,19.01,93.33,87.70,89.13,92.56,76.09,72.73,11.70,51.39,71.74,47.06,97.67,97.60,97.87,100.00,97.28,96.51,98.84
19111,76.09,47.10,61.59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00, , , , , , 
19333,0.00,0.00,0.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00, , , , , , 
20104,92.98,53.98,62.28,20.48,7.14,10.71,14.46,24.39,65.85,68.29,15.85,21.43,13.41,20.24,77.38,61.45,65.48,76.83,84.88,84.88,61.90,9.52,6.10,47.56,33.33,61.25,6.25,6.25,26.25,24.10,90.48,91.57,81.93,24.10,66.67,24.14,18.52,5.45,10.34,4.00,20.59,79.31,88.89,23.75,50.00,65.00,100.00,67.50,100.00,15.00,50.00,79.27,50.00,13.75, ,20.73, ,76.83,100.00,60.49,100.00,96.49, ,76.25,100.00,89.80,78.38,91.84,75.68,77.78,50.00,91.18,95.83,67.44,54.05,6.06,6.38,16.33,35.29,91.84,88.57,93.88,88.24,77.55,88.24,28.57,20.83,72.34,58.82,75.44,71.15,80.33,25.00,79.25,69.77,78.87
20332,25.00,0.00,0.00,66.67,11.11,5.88,38.89,35.29,38.89,55.56,22.22,16.67,11.11,11.11,100.00,33.33,22.22,77.78,27.78,16.67,83.33,5.56,16.67,50.00,11.11,58.82,5.88,11.76,23.53,50.00,82.35,58.82,94.12,61.11,64.71,50.00, , , , , ,100.00, , ,66.67,100.00,33.33,100.00,66.67, , ,100.00,33.33, ,33.33, , ,100.00,100.00, , , ,50.00, ,100.00, ,25.00, ,25.00,50.00, ,100.00, , ,100.00, , , ,50.00, ,75.00, ,33.33, ,100.00, ,100.00, ,50.00,100.00,100.00, ,100.00,100.00,100.00, 
21111,82.61,31.90,58.39,21.43,2.86,10.00,8.70,26.87,59.42,55.88,20.59,25.71,13.04,28.57,61.19,40.30,47.83,66.67,71.01,62.32,46.27,14.93,10.77,52.31,35.82,57.58,4.55,7.58,30.30,66.18,89.71,86.36,80.88,58.82,52.94,25.00,19.57, ,7.69,8.51,13.04,87.50,93.33,23.73,50.00,62.30,37.50,56.67,50.00,16.67,50.00,72.58,87.50,14.75, ,27.42,37.50,57.63,87.50,42.37,25.00,90.32,13.16,68.85,50.00,80.77,65.12,73.08,55.81,47.62,44.00,94.59,82.14,40.91,65.91,4.65,4.35,68.00,65.12,92.00,88.37,95.65,81.40,96.00,72.09,45.95,74.19,72.00,41.86,42.94,38.74,51.92,28.57,46.62,35.82,48.94
22101,87.50,50.00,87.50,12.50,12.50,12.50,0.00,50.00,37.50,62.50,37.50,25.00,0.00,0.00,100.00,50.00,75.00,75.00,87.50,87.50,75.00,0.00,0.00,50.00,37.50,75.00,0.00,0.00,25.00,0.00,100.00,100.00,37.50,0.00,100.00, ,14.29, ,50.00, ,50.00,100.00,100.00,42.86,100.00,28.57,100.00,57.14,100.00,28.57,100.00,85.71, , , , , ,100.00,100.00,42.86,100.00,100.00,33.33,85.71, ,100.00,75.00,75.00,100.00,75.00,75.00,100.00,100.00,66.67,100.00, , , , ,100.00,100.00,100.00,100.00,25.00,50.00, , ,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
23108,84.73,42.89,65.06,10.50,16.05,13.93,13.58,10.26,67.23,84.62,7.39,13.75,9.28,21.85,81.86,49.37,46.64,73.11,75.42,69.17,53.68,16.02,21.79,23.08,25.94,63.72,7.52,6.19,22.57,27.66,95.34,76.69,72.03,17.95,61.80,12.37,9.35,13.89,19.59,9.49,19.05,81.37,89.93,7.98,20.00,70.62,53.49,87.89,72.09,5.38,16.28,86.08,86.67,8.81,11.63,22.68,18.60,82.72,77.78,50.52,45.45,80.18,17.46,82.29,35.56,92.31,65.54,91.21,56.08,63.83,37.08,90.99,66.39,48.31,73.53,6.71,9.21,20.22,31.72,100.00,92.31,86.81,70.83,71.43,72.22,8.13,28.18,78.65,51.05,57.76,62.87,52.25,70.31,55.49,67.59,52.96
24105,76.83,21.63,66.40,16.09,3.48,6.93,12.17,16.44,70.48,69.60,14.80,8.33,22.57,34.51,70.27,61.78,33.33,80.27,63.39,52.94,71.82,8.18,12.50,41.67,25.11,59.91,15.09,4.25,20.75,44.81,94.42,80.93,75.36,24.88,68.37,23.38,12.42,2.61,5.19,6.88,7.04,81.01,91.39,14.12,25.00,71.19,68.00,72.73,58.82,13.71,18.75,96.59,75.00,18.75,36.00,32.57,41.18,70.11,70.83,60.69,65.38,64.29,14.89,82.76,71.43,96.00,54.02,90.00,42.11,78.95,46.94,97.95,65.71,20.00,77.55,8.13,36.54,26.09,50.00,95.65,94.08,84.78,79.88,86.96,72.12,6.15,54.22,86.96,63.31,93.52,93.75,96.23,91.23,94.71,93.98,93.29
25108,72.26,39.42,55.15,13.39,20.31,4.69,20.47,13.11,66.14,88.98,12.20,6.30,15.20,10.48,92.06,52.80,62.99,82.68,65.87,64.80,44.80,20.80,36.29,15.32,22.40,54.40,5.60,10.40,29.60,45.97,96.83,96.03,75.40,36.22,65.08,16.98,9.59,17.81,24.07,2.82,7.14,78.00,81.58,3.23,42.86,60.64,84.38,91.49,81.25,5.38,31.03,94.68,90.63,9.57,33.33,7.45,20.69,94.68,83.87,49.46,64.52,83.33,37.04,88.30,68.75,93.75,49.35,93.75,47.37,64.47,12.50,73.44,52.54,41.67,67.19,2.67,10.20,31.25,54.67,100.00,94.81,97.92,94.81,66.67,80.52,22.03,47.76,83.33,53.25,92.70,95.18,88.89,86.84,94.95,88.52,97.33
26105,64.46,14.52,50.83,13.93,5.71,14.29,16.60,13.19,56.20,60.17,16.03,14.81,26.25,37.76,83.06,62.29,44.54,69.71,64.46,42.15,61.51,7.95,13.30,52.79,24.58,57.63,17.37,4.66,20.34,33.05,87.97,85.48,70.00,36.82,62.24,16.22,10.71,7.69,3.77,16.67,12.50,83.96,82.46,9.42,21.05,52.45,62.34,57.64,61.84,15.28,16.44,87.59,84.42,19.01,38.16,34.27,41.56,84.62,81.82,53.62,73.68,59.63,27.10,75.35,63.64,94.12,60.75,82.35,34.41,70.11,18.18,98.73,53.57,15.73,87.40,4.82,56.00,8.82,37.16,91.18,86.49,85.29,85.95,66.67,70.27,5.83,72.16,64.71,62.70,92.56,92.23,97.14,89.53,94.23,93.28,91.87
26109,93.75,50.00,81.25,12.50,0.00,0.00,40.00,0.00,56.25,50.00,0.00,0.00,31.25,12.50,100.00,26.67,56.25,75.00,100.00,93.75,26.67,13.33,0.00,60.00,31.25,66.67,6.67,6.67,20.00,56.25,100.00,93.75,100.00,50.00,81.25, ,15.38, , , , ,28.57,87.50, , ,60.00, ,53.33, , , ,100.00,100.00,33.33, ,13.33, ,100.00,100.00,28.57, ,100.00,12.50,80.00, ,100.00,100.00,100.00,87.50,28.57,25.00,100.00,100.00,66.67,66.67,11.11, ,50.00,62.50,100.00,100.00,87.50,100.00,100.00,100.00,50.00,50.00,100.00,62.50,100.00,100.00,100.00,100.00,100.00,100.00,100.00
26118,64.22,9.13,42.13,31.00,2.99,19.00,23.32,27.41,45.69,38.97,28.57,16.08,25.13,28.43,75.00,41.15,42.49,75.68,36.65,25.79,71.28,6.91,3.68,76.84,33.69,58.70,3.80,8.70,28.80,47.57,88.83,84.95,79.79,50.54,65.41,40.00,22.08,7.14, ,24.14,12.63,86.05,68.54,23.48,32.31,46.96,42.19,36.52,39.68,25.22,36.51,82.05,84.38,24.79,24.59,32.76,21.88,73.28,77.78,39.82,43.55,57.83,27.96,73.21,83.93,62.50,31.65,60.00,22.15,76.28,37.50,100.00,72.73,8.45,93.81,0.66,35.29,53.33,46.41,86.67,89.74,93.33,84.52,100.00,78.21,10.34,92.68,86.67,65.36,83.26,84.42,80.00,83.33,83.57,83.20,84.62
26333,0.00,0.00,0.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00, , , , , , 
26336, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26602,77.50,2.50,65.00,18.42,0.00,13.16,47.37,33.33,74.29,67.57,18.92,16.22,8.11,13.51,75.00,55.88,13.51,86.84,78.95,71.05,72.97,10.81,15.79,31.58,18.42,48.65,16.22,2.70,32.43,68.42,94.74,81.58,89.19,33.33,75.68,28.57,12.50, , ,12.00,15.38,38.89,65.00,29.63,44.44,74.07,75.00,67.86,66.67,7.14,55.56,85.71,77.78,10.71, ,3.57,44.44,74.07,77.78,46.15,87.50,33.33,4.00,86.21,88.89,100.00,78.38,100.00,70.27,72.22,100.00,100.00,14.29, ,94.74,3.13,100.00,100.00,67.57,100.00,94.59,100.00,81.08,100.00,88.89, ,92.31,100.00,75.00,95.00,94.87,100.00,100.00,93.55,100.00,92.31
27106,87.66,57.87,67.23,6.10,15.02,2.82,12.26,12.26,56.07,89.25,7.94,2.80,2.36,7.51,80.75,51.42,54.21,76.53,89.81,88.26,32.39,27.23,12.62,20.09,28.50,63.05,11.82,4.93,20.20,53.52,95.33,93.46,85.98,32.55,80.75,13.43,2.74,8.70,26.67,2.05,4.48,78.08,92.81,8.51,41.67,56.08,56.00,89.95,84.00,5.29,28.00,98.41,88.00,1.06,12.50,6.35,16.67,80.32,84.00,49.73,64.00,89.57,13.13,80.85,44.00,97.39,80.22,96.75,76.67,49.45,19.67,90.00,85.82,71.11,56.64,18.27,5.05,46.72,62.64,98.37,91.21,97.56,87.91,83.74,89.01,36.59,30.00,95.93,60.00,91.06,91.92,90.44,86.21,91.75,88.31,92.41
27302,0.00,0.00,0.00,50.00,25.00,0.00,50.00,50.00,66.67,75.00,0.00,75.00,75.00,50.00,50.00,50.00,50.00,75.00,75.00,0.00,50.00,25.00,50.00,25.00,0.00,75.00,0.00,25.00,0.00,25.00,75.00,25.00,0.00,25.00,75.00,66.67, ,100.00, , , ,100.00, , ,33.33, ,50.00, ,66.67, , , , , ,66.67, ,33.33, ,66.67, ,66.67, ,100.00, ,66.67, , , , , , , , , , , , , , , , , , , , , , , , ,50.00, , ,50.00, ,60.00, 
28111,15.38,0.00,0.00,90.91,9.09,25.00,27.27,75.00,20.00,33.33,41.67,50.00,18.18,50.00,83.33,50.00,50.00,63.64,33.33,16.67,55.56,11.11,0.00,70.00,0.00,66.67,0.00,25.00,8.33,75.00,83.33,36.36,66.67,90.91,70.00,90.91, ,100.00, ,100.00, ,100.00, ,100.00,66.67,50.00,12.50, ,40.00,50.00,40.00,100.00,40.00, ,22.22,50.00,50.00,50.00,90.00,100.00,44.44,16.67,83.33,100.00,55.56, ,33.33, ,16.67,55.56, ,100.00, , ,100.00, , , ,75.00, ,83.33, ,36.36, ,66.67, ,100.00, ,70.00,92.31,100.00, ,90.91,100.00,100.00, 
28113,40.00,1.55,19.38,20.00,3.75,16.25,29.49,22.37,60.26,55.13,14.10,19.23,32.91,38.46,82.89,48.68,44.00,64.00,75.34,69.44,78.87,2.82,20.00,57.14,21.13,53.52,5.63,5.63,35.21,64.38,82.19,50.70,74.65,44.93,28.57,23.73,10.00,13.04, ,37.04,5.77,94.87,44.74,24.24,20.93,61.76,59.09,38.24,68.18,12.12,15.56,81.82,80.00,35.29,31.11,45.45,33.33,87.88,79.07,50.00,47.62,37.84,50.00,66.67,61.90,100.00,74.65,100.00,68.57,78.26,100.00,100.00,12.50,5.71,100.00, ,66.67,50.00,64.79,100.00,81.69, ,52.17,100.00,73.91, ,93.94,50.00,27.94,60.77,60.63,100.00,57.69,65.38,55.77,80.00
28139,52.06,2.84,37.50,32.58,2.33,29.01,33.59,20.69,59.13,45.13,25.89,23.68,18.75,21.24,77.48,50.00,31.13,62.96,60.00,54.92,64.46,10.74,13.33,62.50,31.40,54.17,11.67,7.50,26.67,67.50,82.64,81.51,55.37,48.33,47.50,33.75,28.00,5.77, ,40.00,20.00,76.92,54.84,13.64,30.00,56.72,62.50,35.38,58.33,21.54,31.91,80.30,70.83,18.18,19.57,21.88,20.41,74.60,81.25,50.00,50.00,38.18,23.53,63.93,61.70,100.00,59.02,66.67,54.62,65.25,33.33,99.03,11.76, ,97.01, ,87.50,66.67,67.52,66.67,83.05,66.67,81.90,33.33,55.93, ,95.08,66.67,47.01,64.32,64.88,66.67,55.91,68.32,61.67,63.89
28150,49.24,2.96,31.72,31.25,6.21,25.00,27.78,26.39,36.36,44.76,25.18,26.76,11.72,29.37,84.03,48.23,53.19,70.42,66.22,63.70,71.03,8.97,14.79,58.45,25.52,46.10,18.44,12.77,22.70,47.86,83.80,72.34,66.67,47.86,48.20,31.11,28.26,10.00,1.16,35.29,15.48,87.50,59.68,22.86,28.57,42.86,30.43,42.86,46.38,21.74,28.36,79.71,69.57,2.86,18.57,32.86,24.64,84.29,84.29,53.62,44.93,52.44,51.79,78.26,65.71,100.00,65.52,100.00,62.94,71.83,33.33,100.00,12.50, ,95.59,0.88,92.59, ,48.91,100.00,83.45,66.67,72.46,33.33,67.39,1.39,97.06,100.00,47.06,72.46,74.62,50.00,71.00,72.16,70.08,77.97
28164,98.78,54.07,82.04,8.66,12.50,7.76,12.55,7.46,52.86,70.61,5.68,9.96,2.60,9.57,81.39,39.30,45.02,78.26,92.17,92.17,43.67,17.90,10.13,38.77,25.76,58.48,16.07,5.36,20.09,30.84,93.48,85.15,67.39,26.11,58.26,10.26,8.33,1.19,42.19,1.12,30.19,60.00,95.03,7.56, ,53.13,33.33,70.22,100.00,5.75, ,89.91,100.00,2.63, ,9.69, ,81.14,100.00,38.50,100.00,98.10,0.79,79.30, ,91.80,92.59,93.44,90.74,60.19,28.93,86.84,92.92,60.91,56.14,15.53,16.53,30.00,31.78,92.62,94.44,87.70,82.24,63.93,71.30,28.57,23.68,79.51,34.26,93.90,95.58,92.48,100.00,94.21,88.64,95.52
28170,96.88,25.00,87.50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00, , , , , , 
28178,71.11,2.22,43.18,28.21,10.53,18.42,32.43,28.21,48.65,68.42,21.05,29.73,13.51,28.95,84.21,23.68,54.05,62.16,78.95,63.16,74.29,5.71,22.22,44.44,27.03,51.35,8.11,10.81,29.73,91.67,88.89,85.71,70.27,55.56,66.67,33.33,17.65,11.11,5.26,7.69,20.83,70.59,63.16,16.67,66.67,50.00,44.44,68.97,66.67,13.79,44.44,67.86,77.78,17.86, ,27.59,33.33,89.66,66.67,24.14,22.22,73.91,21.43,64.29,55.56,100.00,78.38,100.00,62.16,73.53,100.00,100.00,11.11,5.26,100.00, ,75.00,100.00,91.43,100.00,88.57,100.00,85.29, ,72.22, ,95.24,100.00,65.71,86.67,86.36,100.00,69.23,93.75,84.00,89.47
28179,72.37,4.00,62.67,23.08,1.96,7.69,19.23,26.53,52.08,36.17,14.29,8.33,16.33,26.53,89.80,53.19,40.43,74.47,67.39,52.17,70.45,11.36,18.60,53.49,30.23,45.24,9.52,4.76,40.48,46.51,97.62,76.19,71.43,57.14,44.19,38.10,13.33,3.33, ,3.57,13.04,73.91,85.71,28.13,23.53,56.25,43.75,31.25,46.67,9.38,23.53,90.63,93.75,12.50,23.53,21.88,35.29,93.75,82.35,50.00,58.82,54.17,26.09,76.67,70.59,100.00,65.91,100.00,50.00,71.43,50.00,100.00,20.00, ,90.48,2.63,75.00,50.00,46.34,100.00,97.50,50.00,77.50,100.00,70.00,5.56,95.83,100.00,41.46,65.79,66.67,66.67,80.95,60.00,71.43,61.70
28187,75.00,1.33,54.17,11.76,0.00,11.76,18.75,21.21,74.19,37.50,15.63,12.50,21.88,42.42,90.91,59.38,50.00,77.42,81.25,65.63,58.06,6.45,15.15,48.48,22.58,50.00,12.50,3.13,34.38,53.13,90.00,83.87,90.32,51.61,64.29,26.67, , , ,5.88,17.65,83.33,80.00,20.83,22.22,77.27,66.67,34.78,44.44,16.67,12.50,86.96,88.89,13.04,44.44,50.00,22.22,91.67,88.89,56.52,66.67,76.92,31.58,82.61,62.50, ,81.25, ,65.63,58.06, ,100.00, , ,100.00, ,100.00, ,53.13, ,90.00, ,83.87, ,90.32, ,100.00, ,64.29,44.16,45.95, ,50.00,46.30,45.45,48.72
28188,56.58,2.63,47.37,15.49,0.00,30.99,23.94,22.06,44.93,30.88,33.82,37.31,5.88,23.53,92.65,46.27,23.88,74.24,72.73,62.12,81.82,4.55,6.15,75.38,30.30,57.58,12.12,6.06,24.24,38.46,66.67,69.70,50.77,34.85,73.85,13.51,15.15, , ,34.29,28.57,77.78,73.53,23.08,17.86,46.15,44.83,28.21,35.71,31.58,34.48,59.46,65.52,5.26,6.90,23.68,24.14,89.47,96.55,40.54,55.17,31.25,17.65,76.32,70.37,100.00,73.02,50.00,63.49,82.54,100.00,100.00,33.33,3.57,97.30, ,80.00,50.00,37.10,50.00,66.67,100.00,68.25,50.00,50.00, ,91.67,100.00,72.58,89.47,89.19,100.00,87.88,90.70,92.50,86.11
28189,33.75,1.27,20.51,33.33,2.08,22.92,34.09,19.15,35.42,33.33,15.56,14.89,12.50,16.67,85.42,40.43,57.45,58.70,63.04,57.45,84.09,4.55,6.67,80.00,26.09,29.79,14.89,12.77,42.55,70.21,89.36,82.98,89.13,42.22,58.70,40.00,16.67, ,2.78,45.00,3.70,86.96,45.00,15.79,21.43,52.63,24.14,31.58,34.48,10.53,19.23,89.47,82.14,10.53,13.79,10.53,20.69,94.74,79.31,38.89,41.38,48.28,72.22,61.11,57.14, ,63.04, ,57.45,84.09, ,100.00, , ,100.00, ,100.00, ,70.21, ,89.36, ,82.98, ,89.13, ,100.00, ,58.70,60.00,61.54, ,54.72,70.37,56.45,75.00
28319, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28345, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28353, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28354,75.00,0.00,25.00,50.00,0.00,16.67,33.33,50.00,50.00,66.67,16.67,16.67,50.00,16.67,100.00,50.00,66.67,100.00,16.67,50.00,83.33,16.67,0.00,83.33,50.00,83.33,16.67,0.00,0.00,50.00,60.00,100.00,33.33,33.33,100.00,33.33,100.00, , , ,25.00,100.00,50.00,33.33,100.00,33.33, ,66.67,100.00, , ,66.67,100.00,66.67, ,33.33, ,100.00,100.00,33.33, ,75.00, ,100.00,100.00, ,25.00, ,75.00,75.00, ,100.00, , ,100.00, ,100.00, ,50.00, ,50.00, ,100.00, ,25.00, ,100.00, ,100.00,100.00,100.00, ,100.00,100.00,100.00,100.00
28356, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28358,0.00,0.00,0.00,75.00,25.00,0.00,25.00,50.00,50.00,50.00,50.00,0.00,100.00,75.00,75.00,75.00,50.00,100.00,25.00,50.00,50.00,25.00,0.00,75.00,0.00,25.00,25.00,0.00,50.00,0.00,25.00,25.00,0.00,0.00,75.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00, , , , , , 
28374,25.00,0.00,33.33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00, , , , , , 
28380,50.00,0.00,50.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00, , , , , , 
28603,47.46,4.31,29.66,23.81,8.33,25.81,33.33,35.19,47.27,47.17,20.37,32.08,30.19,34.62,71.15,53.06,28.85,68.63,69.39,59.18,74.47,4.26,17.02,51.06,14.29,60.87,8.70,8.70,21.74,50.00,87.50,39.58,87.50,48.94,48.94,31.11,5.88,21.05,2.44,46.67,3.23,89.29,45.16,34.78,35.48,60.87,37.50,45.45,48.39, ,34.38,71.43,65.63,13.64,41.94,19.05,45.16,71.43,70.97,45.00,58.62,25.00,35.00,61.90,73.33,100.00,66.67,75.00,57.78,79.07,25.00,97.30,30.00,5.88,93.10,2.44,60.00,25.00,52.27,75.00,88.64,50.00,38.64,50.00,90.91,4.55,88.00,75.00,46.51,49.17,49.55,80.00,54.84,42.86,49.40,48.57
28605,65.65,3.10,45.80,27.66,2.13,14.89,19.57,22.73,42.86,40.91,18.60,19.05,7.14,31.71,88.10,38.10,35.71,57.14,76.19,76.19,70.73,2.44,14.29,64.29,23.81,38.10,16.67,4.76,40.48,54.76,92.86,82.93,75.00,57.50,53.66,32.26,18.75,5.88, ,23.53,10.00,92.00,66.67,20.69,26.67,39.29,50.00,48.28,26.67,14.29,26.67,81.48,80.00,7.41,6.67,30.77,33.33,88.89,86.67,29.63,53.33,50.00,25.00,66.67,40.00,100.00,75.00,100.00,75.00,74.36, ,97.22,16.67, ,88.89,2.86,85.71, ,57.50,100.00,92.50,50.00,84.62,50.00,76.32, ,92.00,100.00,51.28,34.35,34.40,50.00,35.56,33.72,40.85,26.67
