school_code,enroll_1112,enroll_lunchF_1112,enroll_lunchR_1112,enroll_lunchP_1112,PCT_FREE_1112,PCT_FREE_SUP_1112,NUM_FREE_SUP_1112,PCT_RED_1112,PCT_RED_SUP_1112,NUM_RED_SUP_1112,PCT_PAID_1112,PCT_PAID_SUP_1112,NUM_PAID_SUP_1112,NUM_FREERED_1112,PCT_FREERED_1112,PCT_FREERED_SUP_1112,NUM_FREERED_SUP_1112,enroll_lunchF_1011,enroll_lunchP_1011,enroll_lunchR_1011,enroll_1011,PCT_FREE_1011,PCT_FREE_SUP_1011,NUM_FREE_SUP_1011,PCT_RED_1011,PCT_RED_SUP_1011,NUM_RED_SUP_1011,PCT_PAID_1011,PCT_PAID_SUP_1011,NUM_PAID_SUP_1011,NUM_FREERED_1011,PCT_FREERED_1011,PCT_FREERED_SUP_1011,NUM_FREERED_SUP_1011,enroll_0910,enroll_lunchF_0910,enroll_lunchR_0910,enroll_lunchP_0910,PCT_FREE_0910,PCT_FREE_SUP_0910,NUM_FREE_SUP_0910,PCT_RED_0910,PCT_RED_SUP_0910,NUM_RED_SUP_0910,PCT_PAID_0910,PCT_PAID_SUP_0910,NUM_PAID_SUP_0910,NUM_FREERED_0910,PCT_FREERED_0910,PCT_FREERED_SUP_0910,NUM_FREERED_SUP_0910,enroll_0809,enroll_lunchF_0809,enroll_lunchR_0809,enroll_lunchP_0809,PCT_FREE_0809,PCT_FREE_SUP_0809,NUM_FREE_SUP_0809,PCT_RED_0809,PCT_RED_SUP_0809,NUM_RED_SUP_0809,PCT_PAID_0809,PCT_PAID_SUP_0809,NUM_PAID_SUP_0809,NUM_FREERED_0809,PCT_FREERED_0809,PCT_FREERED_SUP_0809,NUM_FREERED_SUP_0809,enroll_0708,enroll_lunchF_0708,enroll_lunchR_0708,enroll_lunchP_0708,PCT_FREE_0708,PCT_FREE_SUP_0708,NUM_FREE_SUP_0708,PCT_RED_0708,PCT_RED_SUP_0708,NUM_RED_SUP_0708,PCT_PAID_0708,PCT_PAID_SUP_0708,NUM_PAID_SUP_0708,NUM_FREERED_0708,PCT_FREERED_0708,PCT_FREERED_SUP_0708,NUM_FREERED_SUP_0708,enroll_0607,enroll_lunchF_0607,enroll_lunchR_0607,enroll_lunchP_0607,PCT_FREE_0607,PCT_FREE_SUP_0607,NUM_FREE_SUP_0607,PCT_RED_0607,PCT_RED_SUP_0607,NUM_RED_SUP_0607,PCT_PAID_0607,PCT_PAID_SUP_0607,NUM_PAID_SUP_0607,NUM_FREERED_0607,PCT_FREERED_0607,PCT_FREERED_SUP_0607,NUM_FREERED_SUP_0607,enroll_0506,enroll_lunchF_0506,enroll_lunchR_0506,enroll_lunchP_0506,PCT_FREE_0506,PCT_FREE_SUP_0506,NUM_FREE_SUP_0506,PCT_RED_0506,PCT_RED_SUP_0506,NUM_RED_SUP_0506,PCT_PAID_0506,PCT_PAID_SUP_0506,NUM_PAID_SUP_0506,NUM_FREERED_0506,PCT_FREERED_0506,PCT_FREERED_SUP_0506,NUM_FREERED_SUP_0506
35137,133,30,4,99,22.6,22.6,30,3.0,-1.0,-1,74.4,74.4,99,34,25.6,25.6,34,23.00,114.00,8.00,145,15.9,15.9,23,5.5,5.5,8,78.6,78.6,114,31,21.4,21.4,31,142,30,6,106,21.1,21.1,30,4.2,4.2,6,74.6,74.6,106,36,25.4,25.4,36,105,17,4,84,16.2,16.2,17,3.8,-1.0,-1,80.0,80.0,84,21,20.0,20.0,21,312,68,23,221,21.8,21.8,68,7.4,7.4,23,70.8,70.8,221,91,29.2,29.2,91,293,59,33,201,20.1,20.1,59,11.3,11.3,33,68.6,68.6,201,92,31.4,31.4,92,309,79,26,204,25.6,25.6,79,8.4,8.4,26,66.0,66.0,204,105,34.0,34.0,105
35138,1014,212,59,743,20.9,20.9,212,5.8,5.8,59,73.3,73.3,743,271,26.7,26.7,271,204.00,774.00,45.00,1023,19.9,19.9,204,4.4,4.4,45,75.7,75.7,774,249,24.3,24.3,249,1048,154,60,834,14.7,14.7,154,5.7,5.7,60,79.6,79.6,834,214,20.4,20.4,214,1110,133,44,933,12.0,12.0,133,4.0,4.0,44,84.1,84.1,933,177,15.9,15.9,177,1123,97,44,982,8.6,8.6,97,3.9,3.9,44,87.4,87.4,982,141,12.6,12.6,141,1180,70,21,1089,5.9,5.9,70,1.8,1.8,21,92.3,92.3,1089,91,7.7,7.7,91,1191,87,49,1055,7.3,7.3,87,4.1,4.1,49,88.6,88.6,1055,136,11.4,11.4,136
35139,540,103,35,402,19.1,19.1,103,6.5,6.5,35,74.4,74.4,402,138,25.6,25.6,138,116.00,417.00,33.00,566,20.5,20.5,116,5.8,5.8,33,73.7,73.7,417,149,26.3,26.3,149,578,99,45,434,17.1,17.1,99,7.8,7.8,45,75.1,75.1,434,144,24.9,24.9,144,582,91,41,450,15.6,15.6,91,7.0,7.0,41,77.3,77.3,450,132,22.7,22.7,132,622,111,39,472,17.8,17.8,111,6.3,6.3,39,75.9,75.9,472,150,24.1,24.1,150,612,73,45,494,11.9,11.9,73,7.4,7.4,45,80.7,80.7,494,118,19.3,19.3,118,632,62,35,535,9.8,9.8,62,5.5,5.5,35,84.7,84.7,535,97,15.3,15.3,97
36101,190,80,12,98,42.1,42.1,80,6.3,6.3,12,51.6,51.6,98,92,48.4,48.4,92,69.00,97.00,9.00,175,39.4,39.4,69,5.1,5.1,9,55.4,55.4,97,78,44.6,44.6,78,195,55,23,117,28.2,28.2,55,11.8,11.8,23,60.0,60.0,117,78,40.0,40.0,78,171,46,26,99,26.9,26.9,46,15.2,15.2,26,57.9,57.9,99,72,42.1,42.1,72,212,72,27,113,34.0,34.0,72,12.7,12.7,27,53.3,53.3,113,99,46.7,46.7,99,201,49,30,122,24.4,24.4,49,14.9,14.9,30,60.7,60.7,122,79,39.3,39.3,79,219,62,23,134,28.3,28.3,62,10.5,10.5,23,61.2,61.2,134,85,38.8,38.8,85
36103,908,271,65,572,29.8,29.8,271,7.2,7.2,65,63.0,63.0,572,336,37.0,37.0,336,275.00,619.00,58.00,952,28.9,28.9,275,6.1,6.1,58,65.0,65.0,619,333,35.0,35.0,333,972,244,69,659,25.1,25.1,244,7.1,7.1,69,67.8,67.8,659,313,32.2,32.2,313,774,153,61,560,19.8,19.8,153,7.9,7.9,61,72.4,72.4,560,214,27.6,27.6,214,796,157,48,591,19.7,19.7,157,6.0,6.0,48,74.2,74.2,591,205,25.8,25.8,205,846,129,51,666,15.2,15.2,129,6.0,6.0,51,78.7,78.7,666,180,21.3,21.3,180,848,128,66,654,15.1,15.1,128,7.8,7.8,66,77.1,77.1,654,194,22.9,22.9,194
36104,983,198,54,731,20.1,20.1,198,5.5,5.5,54,74.4,74.4,731,252,25.6,25.6,252,189.00,761.00,41.00,991,19.1,19.1,189,4.1,4.1,41,76.8,76.8,761,230,23.2,23.2,230,1025,176,61,788,17.2,17.2,176,6.0,6.0,61,76.9,76.9,788,237,23.1,23.1,237,1061,159,63,839,15.0,15.0,159,5.9,5.9,63,79.1,79.1,839,222,20.9,20.9,222,1089,164,52,873,15.1,15.1,164,4.8,4.8,52,80.2,80.2,873,216,19.8,19.8,216,1107,140,42,925,12.6,12.6,140,3.8,3.8,42,83.6,83.6,925,182,16.4,16.4,182,1143,170,60,913,14.9,14.9,170,5.2,5.2,60,79.9,79.9,913,230,20.1,20.1,230
36105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,106,28,198,31.9,31.9,106,8.4,8.4,28,59.6,59.6,198,134,40.4,40.4,134,329,109,27,193,33.1,33.1,109,8.2,8.2,27,58.7,58.7,193,136,41.3,41.3,136,328,103,22,203,31.4,31.4,103,6.7,6.7,22,61.9,61.9,203,125,38.1,38.1,125,327,79,23,225,24.2,24.2,79,7.0,7.0,23,68.8,68.8,225,102,31.2,31.2,102
36106,343,124,18,201,36.2,36.2,124,5.2,5.2,18,58.6,58.6,201,142,41.4,41.4,142,123.00,195.00,20.00,338,36.4,36.4,123,5.9,5.9,20,57.7,57.7,195,143,42.3,42.3,143,326,105,19,202,32.2,32.2,105,5.8,5.8,19,62.0,62.0,202,124,38.0,38.0,124,268,59,8,201,22.0,22.0,59,3.0,3.0,8,75.0,75.0,201,67,25.0,25.0,67,308,69,11,228,22.4,22.4,69,3.6,3.6,11,74.0,74.0,228,80,26.0,26.0,80,325,55,13,257,16.9,16.9,55,4.0,4.0,13,79.1,79.1,257,68,20.9,20.9,68,341,64,24,253,18.8,18.8,64,7.0,7.0,24,74.2,74.2,253,88,25.8,25.8,88
36109,312,48,11,253,15.4,15.4,48,3.5,3.5,11,81.1,81.1,253,59,18.9,18.9,59,57.00,258.00,9.00,324,17.6,17.6,57,2.8,2.8,9,79.6,79.6,258,66,20.4,20.4,66,333,58,19,256,17.4,17.4,58,5.7,5.7,19,76.9,76.9,256,77,23.1,23.1,77,301,57,13,231,18.9,18.9,57,4.3,4.3,13,76.7,76.7,231,70,23.3,23.3,70,282,44,19,219,15.6,15.6,44,6.7,6.7,19,77.7,77.7,219,63,22.3,22.3,63,298,32,23,243,10.7,10.7,32,7.7,7.7,23,81.5,81.5,243,55,18.5,18.5,55,316,26,9,281,8.2,8.2,26,2.8,2.8,9,88.9,88.9,281,35,11.1,11.1,35
36111,300,123,21,156,41.0,41.0,123,7.0,7.0,21,52.0,52.0,156,144,48.0,48.0,144,117.00,164.00,18.00,299,39.1,39.1,117,6.0,6.0,18,54.8,54.8,164,135,45.2,45.2,135,315,109,24,182,34.6,34.6,109,7.6,7.6,24,57.8,57.8,182,133,42.2,42.2,133,272,54,25,193,19.9,19.9,54,9.2,9.2,25,71.0,71.0,193,79,29.0,29.0,79,284,57,21,206,20.1,20.1,57,7.4,7.4,21,72.5,72.5,206,78,27.5,27.5,78,309,69,27,213,22.3,22.3,69,8.7,8.7,27,68.9,68.9,213,96,31.1,31.1,96,308,55,31,222,17.9,17.9,55,10.1,10.1,31,72.1,72.1,222,86,27.9,27.9,86
