district_code,district_name,LEA_type,LEA_Active,enroll_1112,enroll_lunchF_1112,enroll_lunchR_1112,enroll_lunchP_1112,PCT_FREE_1112,PCT_FREE_SUP_1112,NUM_FREE_SUP_1112,PCT_RED_1112,PCT_RED_SUP_1112,NUM_RED_SUP_1112,PCT_PAID_1112,PCT_PAID_SUP_1112,NUM_PAID_SUP_1112,NUM_FREERED_1112,PCT_FREERED_1112,PCT_FREERED_SUP_1112,NUM_FREERED_SUP_1112,enroll_lunchF_1011,enroll_lunchP_1011,enroll_lunchR_1011,enroll_1011,PCT_FREE_1011,PCT_FREE_SUP_1011,NUM_FREE_SUP_1011,PCT_RED_1011,PCT_RED_SUP_1011,NUM_RED_SUP_1011,PCT_PAID_1011,PCT_PAID_SUP_1011,NUM_PAID_SUP_1011,NUM_FREERED_1011,PCT_FREERED_1011,PCT_FREERED_SUP_1011,NUM_FREERED_SUP_1011,enroll_0910,enroll_lunchF_0910,enroll_lunchR_0910,enroll_lunchP_0910,PCT_FREE_0910,PCT_FREE_SUP_0910,NUM_FREE_SUP_0910,PCT_RED_0910,PCT_RED_SUP_0910,NUM_RED_SUP_0910,PCT_PAID_0910,PCT_PAID_SUP_0910,NUM_PAID_SUP_0910,NUM_FREERED_0910,PCT_FREERED_0910,PCT_FREERED_SUP_0910,NUM_FREERED_SUP_0910,enroll_0809,enroll_lunchF_0809,enroll_lunchR_0809,enroll_lunchP_0809,PCT_FREE_0809,PCT_FREE_SUP_0809,NUM_FREE_SUP_0809,PCT_RED_0809,PCT_RED_SUP_0809,NUM_RED_SUP_0809,PCT_PAID_0809,PCT_PAID_SUP_0809,NUM_PAID_SUP_0809,NUM_FREERED_0809,PCT_FREERED_0809,PCT_FREERED_SUP_0809,NUM_FREERED_SUP_0809,enroll_0708,enroll_lunchF_0708,enroll_lunchR_0708,enroll_lunchP_0708,PCT_FREE_0708,PCT_FREE_SUP_0708,NUM_FREE_SUP_0708,PCT_RED_0708,PCT_RED_SUP_0708,NUM_RED_SUP_0708,PCT_PAID_0708,PCT_PAID_SUP_0708,NUM_PAID_SUP_0708,NUM_FREERED_0708,PCT_FREERED_0708,PCT_FREERED_SUP_0708,NUM_FREERED_SUP_0708,enroll_0607,enroll_lunchF_0607,enroll_lunchR_0607,enroll_lunchP_0607,PCT_FREE_0607,PCT_FREE_SUP_0607,NUM_FREE_SUP_0607,PCT_RED_0607,PCT_RED_SUP_0607,NUM_RED_SUP_0607,PCT_PAID_0607,PCT_PAID_SUP_0607,NUM_PAID_SUP_0607,NUM_FREERED_0607,PCT_FREERED_0607,PCT_FREERED_SUP_0607,NUM_FREERED_SUP_0607,enroll_0506,enroll_lunchF_0506,enroll_lunchR_0506,enroll_lunchP_0506,PCT_FREE_0506,PCT_FREE_SUP_0506,NUM_FREE_SUP_0506,PCT_RED_0506,PCT_RED_SUP_0506,NUM_RED_SUP_0506,PCT_PAID_0506,PCT_PAID_SUP_0506,NUM_PAID_SUP_0506,NUM_FREERED_0506,PCT_FREERED_0506,PCT_FREERED_SUP_0506,NUM_FREERED_SUP_0506
40,Davies Career and Tech,SOP,Y,833,440,106,287,52.8,52.8,440,12.7,12.7,106,34.5,34.5,287,546,65.5,65.5,546,423.00,300.00,93.00,816,51.8,51.8,423,11.4,11.4,93,36.8,36.8,300,516,63.2,63.2,516,815,397,99,319,48.7,48.7,397,12.1,12.1,99,39.1,39.1,319,496,60.9,60.9,496,816,354,118,344,43.4,43.4,354,14.5,14.5,118,42.2,42.2,344,472,57.8,57.8,472,790,330,95,365,41.8,41.8,330,12.0,12.0,95,46.2,46.2,365,425,53.8,53.8,425,780,300,94,386,38.5,38.5,300,12.1,12.1,94,49.5,49.5,386,394,50.5,50.5,394,772,272,92,408,35.2,35.2,272,11.9,11.9,92,52.8,52.8,408,364,47.2,47.2,364
46,Segue Institute for Learning,CHTR,Y,201,152,24,25,75.6,75.6,152,11.9,11.9,24,12.4,12.4,25,176,87.6,87.6,176,106.00,16.00,17.00,139,76.3,76.3,106,12.2,12.2,17,11.5,11.5,16,123,88.5,88.5,123,60,60,0,0,100.0,100.0,60,.0,-1.0,-1,.0,-1.0,-1,60,100.0,100.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Blackstone Valley Prep - A RI Mayoral Academy,CHTR,Y,522,257,66,199,49.2,49.2,257,12.6,12.6,66,38.1,38.1,199,323,61.9,61.9,323,140.00,91.00,25.00,256,54.7,54.7,140,9.8,9.8,25,35.5,35.5,91,165,64.5,64.5,165,76,35,11,30,46.1,46.1,35,14.5,14.5,11,39.5,39.5,30,46,60.5,60.5,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Highlander,CHTR,Y,296,180,31,85,60.8,60.8,180,10.5,10.5,31,28.7,28.7,85,211,71.3,71.3,211,195.00,51.00,36.00,282,69.1,69.1,195,12.8,12.8,36,18.1,18.1,51,231,81.9,81.9,231,282,127,30,125,45.0,45.0,127,10.6,10.6,30,44.3,44.3,125,157,55.7,55.7,157,273,144,34,95,52.7,52.7,144,12.5,12.5,34,34.8,34.8,95,178,65.2,65.2,178,246,115,33,98,46.7,46.7,115,13.4,13.4,33,39.8,39.8,98,148,60.2,60.2,148,237,78,43,116,32.9,32.9,78,18.1,18.1,43,48.9,48.9,116,121,51.1,51.1,121,234,102,37,95,43.6,43.6,102,15.8,15.8,37,40.6,40.6,95,139,59.4,59.4,139
49,Urban Collaborative,Regional Collaborative,Y,141,119,0,22,84.4,84.4,119,.0,-1.0,-1,15.6,15.6,22,119,84.4,84.4,119,138.00,4.00,.00,142,97.2,97.2,138,.0,-1.0,-1,2.8,-1.0,-1,138,97.2,97.2,138,136,117,0,19,86.0,86.0,117,.0,-1.0,-1,14.0,14.0,19,117,86.0,86.0,117,140,127,6,7,90.7,90.7,127,4.3,4.3,6,5.0,5.0,7,133,95.0,95.0,133,141,97,0,44,68.8,68.8,97,.0,-1.0,-1,31.2,31.2,44,97,68.8,68.8,97,142,44,1,97,31.0,31.0,44,.7,-1.0,-1,68.3,68.3,97,45,31.7,31.7,45,135,77,7,51,57.0,57.0,77,5.2,5.2,7,37.8,37.8,51,84,62.2,62.2,84
50,R.I. Sch for the Deaf,SOP,Y,69,42,4,23,60.9,60.9,42,5.8,-1.0,-1,33.3,33.3,23,46,66.7,66.7,46,37.00,26.00,5.00,68,54.4,54.4,37,7.4,7.4,5,38.2,38.2,26,42,61.8,61.8,42,70,28,7,35,40.0,40.0,28,10.0,10.0,7,50.0,50.0,35,35,50.0,50.0,35,79,37,6,36,46.8,46.8,37,7.6,7.6,6,45.6,45.6,36,43,54.4,54.4,43,85,39,7,39,45.9,45.9,39,8.2,8.2,7,45.9,45.9,39,46,54.1,54.1,46,103,47,11,45,45.6,45.6,47,10.7,10.7,11,43.7,43.7,45,58,56.3,56.3,58,81,37,11,33,45.7,45.7,37,13.6,13.6,11,40.7,40.7,33,48,59.3,59.3,48
51,Paul Cuffee Charter Sch,CHTR,Y,630,420,57,153,66.7,66.7,420,9.0,9.0,57,24.3,24.3,153,477,75.7,75.7,477,366.00,130.00,61.00,557,65.7,65.7,366,11.0,11.0,61,23.3,23.3,130,427,76.7,76.7,427,483,304,57,122,62.9,62.9,304,11.8,11.8,57,25.3,25.3,122,361,74.7,74.7,361,430,269,50,111,62.6,62.6,269,11.6,11.6,50,25.8,25.8,111,319,74.2,74.2,319,443,288,52,103,65.0,65.0,288,11.7,11.7,52,23.3,23.3,103,340,76.7,76.7,340,432,218,65,149,50.5,50.5,218,15.0,15.0,65,34.5,34.5,149,283,65.5,65.5,283,386,223,38,125,57.8,57.8,223,9.8,9.8,38,32.4,32.4,125,261,67.6,67.6,261
52,Kingston Hill Academy,CHTR,Y,179,37,8,134,20.7,20.7,37,4.5,4.5,8,74.9,74.9,134,45,25.1,25.1,45,34.00,137.00,8.00,179,19.0,19.0,34,4.5,4.5,8,76.5,76.5,137,42,23.5,23.5,42,178,26,14,138,14.6,14.6,26,7.9,7.9,14,77.5,77.5,138,40,22.5,22.5,40,180,23,16,141,12.8,12.8,23,8.9,8.9,16,78.3,78.3,141,39,21.7,21.7,39,179,30,8,141,16.8,16.8,30,4.5,4.5,8,78.8,78.8,141,38,21.2,21.2,38,177,22,13,142,12.4,12.4,22,7.3,7.3,13,80.2,80.2,142,35,19.8,19.8,35,162,15,14,133,9.3,9.3,15,8.6,8.6,14,82.1,82.1,133,29,17.9,17.9,29
53,International Charter,CHTR,Y,326,142,44,140,43.6,43.6,142,13.5,13.5,44,42.9,42.9,140,186,57.1,57.1,186,132.00,128.00,52.00,312,42.3,42.3,132,16.7,16.7,52,41.0,41.0,128,184,59.0,59.0,184,303,133,46,124,43.9,43.9,133,15.2,15.2,46,40.9,40.9,124,179,59.1,59.1,179,255,99,43,113,38.8,38.8,99,16.9,16.9,43,44.3,44.3,113,142,55.7,55.7,142,299,143,53,103,47.8,47.8,143,17.7,17.7,53,34.4,34.4,103,196,65.6,65.6,196,270,111,58,101,41.1,41.1,111,21.5,21.5,58,37.4,37.4,101,169,62.6,62.6,169,277,137,82,58,49.5,49.5,137,29.6,29.6,82,20.9,20.9,58,219,79.1,79.1,219
54,Blackstone Academy,CHTR,Y,166,105,23,38,63.3,63.3,105,13.9,13.9,23,22.9,22.9,38,128,77.1,77.1,128,99.00,37.00,28.00,164,60.4,60.4,99,17.1,17.1,28,22.6,22.6,37,127,77.4,77.4,127,167,91,31,45,54.5,54.5,91,18.6,18.6,31,26.9,26.9,45,122,73.1,73.1,122,158,1,0,157,.6,-1.0,-1,.0,-1.0,-1,99.4,99.4,157,1,.6,-1.0,-1,164,104,15,45,63.4,63.4,104,9.1,9.1,15,27.4,27.4,45,119,72.6,72.6,119,153,70,41,42,45.8,45.8,70,26.8,26.8,41,27.5,27.5,42,111,72.5,72.5,111,158,76,42,40,48.1,48.1,76,26.6,26.6,42,25.3,25.3,40,118,74.7,74.7,118
